"column_header";"table";"raw_table";"variable";"column_description";"column_unit";"std_header";"header_fun";"header_fun_args";"std_description";"std_unit";"code_mappings";"values_fun";"values_fun_args";"comments"
"EXP_NAME";"EXPERIMENTS";".";"EXP_NAME";"";"";"EXP_NAME";"";"";"";"";"";"";"";""
"PERSONS";"EXPERIMENTS";".";"PERSONS";"";"";"PERSONS";"";"";"";"";"";"";"";""
"ADDRESS";"EXPERIMENTS";".";"ADDRESS";"";"";"ADDRESS";"";"";"";"";"";"";"";""
"NOTES";"EXPERIMENTS";".";"NOTES";"";"";"NOTES";"";"";"";"";"";"";"";""
"SOIL_ID";"EXPERIMENTS";NA;NA;"";"";"SOIL_ID";"";"";"";"";"";"";"";"new variable"
"WEATHER_ID";"EXPERIMENTS";NA;NA;"";"";"WID";"";"";"";"";"";"";"";"new variable"
"Versuchsaufbau_ID";"EXPERIMENTS";".";"Versuchsaufbau_ID";"";"";"";"";"";"";"";"";"";"";""
"Versuchsjahr";"EXPERIMENTS";".";"Versuchsjahr";"Experimental year (=year of (scheduled) harvest)";"yyyy";"Year";"";"";"";"yyyy";"";"";"";""
"Bewaesserung";"EXPERIMENTS";".";"Bewaesserung";"";"";"";"";"";"";"";"";"";"";""
"KULTUR.Kultur";"EXPERIMENTS";"KULTUR";"Kultur";"Name of cultivated crop";"text";"";"";"";"";"";"";"";"";""
"KULTUR.Kultur_Botanisch";"EXPERIMENTS";"KULTUR";"Kultur_Botanisch";"Botanical name of cultivated crop";"text";"";"";"";"";"";"";"";"";""
"KULTUR.Kultur_Englisch";"EXPERIMENTS";"KULTUR";"Kultur_Englisch";"English name of cultivated crop";"text";"CRID";"";"";"";"code";"list('Potato: POT', 'Winter wheat: WHT', 'Sugar beet: SBT', 'Spring barley: BAR', 'Winter barley: BAR', 'Maize: MAZ')";"";"";""
"KULTUR.Icc_Code";"EXPERIMENTS";"KULTUR";"Icc_Code";"ICC-Code of the cultivated crop (FAO)";"code";"";"";"";"";"";"";"";"";""
"PARZELLE.Hoehenlage_Min";"EXPERIMENTS";"PARZELLE";"Hoehenlage_Min";"Lowest altitude within the trial area";"m";"";"";"";"";"m";"";"";"";""
"PARZELLE.Hoehenlage_Max";"EXPERIMENTS";"PARZELLE";"Hoehenlage_Max";"Highest altitude within the trial area";"m";"";"";"";"";"m";"";"";"";""
"PARZELLE.Beginn";"EXPERIMENTS";"PARZELLE";"Beginn";"Start of experiment";"yyyy";"";"";"";"";"";"";"";"";""
"PARZELLE.Ende";"EXPERIMENTS";"PARZELLE";"Ende";"End of experiment (keep empty if still running)";"yyyy";"";"";"";"";"";"";"";"";""
"PARZELLE.City";"EXPERIMENTS";"PARZELLE";"City";"";"";"";"";"";"";"";"";"";"";""
"FL_LON";"EXPERIMENTS";".";"FL_LON";"";"";"FL_LON";"";"";"";"";"";"";"";""
"FL_LAT";"EXPERIMENTS";".";"FL_LAT";"";"";"FL_LAT";"";"";"";"";"";"";"";""
"BEMERKUNGEN.Bemerkungen";"EXPERIMENTS";"BEMERKUNGEN";"Bemerkungen";"Contains extra information";"text";"";"";"";"";"";"";"";"";""
"ICPCR";"EXPERIMENTS";NA;NA;"";"";"ICPCR";"";"";"Residue, crop code for previous crop";"code";"list('Potato: POT', 'Winter wheat: WHT', 'Sugar beet: SBT', 'Spring barley: BAR', 'Winter barley: BAR', 'Maize: MAZ')";"";"";"new variable"
"FLELE";"EXPERIMENTS";NA;NA;NA;"m";"FLELE";"";"";"";"m";"";"function(x, y){ mean(x, y) }";"x=Hoehenlage_Min; y=Hoehenlage_Max";"new_variable"
"TRTNO";"TREATMENTS";".";"TRTNO";"";"";"TRTNO";"";"";"";"";"";"";"";""
"Versuchsjahr";"TREATMENTS";".";"Versuchsjahr";"Experimental year (=year of (scheduled) harvest)";"yyyy";"Year";"";"";"";"yyyy";"";"";"";""
"TRT_NAME";"TREATMENTS";NA;NA;NA;"text";"TRT_NAME";"";"";"";"text";"";"function(x, y){ paste(x, y, sep =  | ) }";"x=FAKTOR1_STUFE.Beschreibung ; y=FAKTOR2_STUFE.Beschreibung";"new variable"
"FAKTOR1_STUFE.Name";"TREATMENTS";"FAKTOR1_STUFE";"Name";"Name of the levels of fac1or 2";"text";"";"";"";"";"";"";"";"";""
"FAKTOR1_STUFE.Beschreibung";"TREATMENTS";"FAKTOR1_STUFE";"Beschreibung";"Description of the levels of factor 1";"text";"";"";"";"";"text";"";"";"";""
"FAKTOR.Name.x";"TREATMENTS";"FAKTOR";"Name";"Name of factor 1";"text";"";"";"";"";"";"";"";"";""
"FAKTOR2_STUFE.Name";"TREATMENTS";"FAKTOR2_STUFE";"Name";"Name of the levels of factor 2";"text";"";"";"";"";"";"";"";"";""
"FAKTOR2_STUFE.Beschreibung";"TREATMENTS";"FAKTOR2_STUFE";"Beschreibung";"Description of the levels of factor 2";"text";"";"";"";"";"text";"";"";"";""
"FAKTOR.Name.y";"TREATMENTS";"FAKTOR";"Name";"Name of factor 2";"text";"";"";"";"";"";"";"";"";""
"AU_ID";"TREATMENTS";".";"AU_ID";"";"";"PL";"";"";"";"";"";"";"";""
"BE_ID";"TREATMENTS";".";"BE_ID";"";"";"IR";"";"";"";"";"";"";"";""
"BE_ID";"TREATMENTS";".";"BE_ID";"";"";"";"";"";"";"";"";"";"";""
"BO_ID";"TREATMENTS";".";"BO_ID";"";"";"TI";"";"";"";"";"";"";"";""
"BO_ID";"TREATMENTS";".";"BO_ID";"";"";"";"";"";"";"";"";"";"";""
"PF_ID";"TREATMENTS";".";"PF_ID";"";"";"";"";"";"";"";"";"";"";""
"FL_ID";"TREATMENTS";".";"FL_ID";"";"";"";"";"";"";"";"";"";"";""
"HA_ID";"TREATMENTS";NA;NA;"";"";"HA";"";"";"";"";"";"";"";"new variable"
"CU_ID";"TREATMENTS";NA;NA;"";"";"GE";"";"";"";"";"";"";"";"new variable"
"FE_ID";"TREATMENTS";NA;NA;"";"";"FE";"";"";"";"";"";"";"";"new variable"
"OM_ID";"TREATMENTS";NA;NA;"";"";"OM";"";"";"";"";"";"";"";"new variable"
"BO_ID";"TILLAGE";".";"BO_ID";"";"";"TI";"";"";"";"";"";"";"";""
"BO_ID";"TILLAGE";".";"BO_ID";"";"";"";"";"";"";"";"";"";"";""
"Versuchsjahr";"TILLAGE";".";"Versuchsjahr";"Experimental year (=year of (scheduled) harvest)";"yyyy";"Year";"";"";"";"yyyy";"";"";"";""
"BODENBEARBEITUNG.Termin";"TILLAGE";"BODENBEARBEITUNG";"Termin";"Date of tillage";"date";"TDATE";"";"";"";"date";"";"";"";""
"BODENBEARBEITUNG.Tiefe";"TILLAGE";"BODENBEARBEITUNG";"Tiefe";"Tillage depth in cm";"cm";"TIDEP";"";"";"";"cm";"";"";"";""
"BEMERKUNGEN.Bemerkungen";"TILLAGE";"BEMERKUNGEN";"Bemerkungen";"Contains extra information";"text";"";"";"";"";"";"";"";"";""
"BODENBEARBEITUNG_MASSNAHME.Massnahme";"TILLAGE";"BODENBEARBEITUNG_MASSNAHME";"Massnahme";"Name of tillage";"text";"TI_NAME";"";"";"";"text";"";"";"";""
"TECHNIK.Technik";"TILLAGE";"TECHNIK";"Technik";"Name of the machine/agricultural engineering";"text";"HARM";"";"";"";"code";"list('Kartoffeln Sammelroder: HM999', 'Getreide-Mähdrescher: HM999', 'Feldhäcksler: HM999', 'Blatternte: HM999', 'Zuckerrüben Rodelader Selbstfahrer: HM999')";"";"";""
"TECHNIK.Technik";"TILLAGE";"TECHNIK";"Technik";"Name of the machine/agricultural engineering";"text";"";"";"";"";"";"";"";"";"PLDS=R; PLMA=S; (deducted)"
"TECHNIK.Technik";"TILLAGE";"TECHNIK";"Technik";"Name of the machine/agricultural engineering";"text";"TIIMP";"";"";"";"code";"list('Aufsattelbeetpflug: TI041', 'Kartoffelstriegel: TI014', 'Kreiselegge: TI038', 'Maishacke: TI035', 'Rübenhacke: TI035', 'Walze: TI024', 'Grubber: TI011', 'Scheibenegge: TI008')";"";"";""
"TECHNIK.Technik";"TILLAGE";"TECHNIK";"Technik";"Name of the machine/agricultural engineering";"text";"*cond";"function(df) { if(df$Mineralisch==1, FECD, OMCD }";"df=DUENGUNG";"";"code";"list('Stalldungstreuer: AP001', 'Düngerstreuer: AP001')";"";"";""
"TECHNIK.Technik";"TILLAGE";"TECHNIK";"Technik";"Name of the machine/agricultural engineering";"text";"CHACD";"";"";"";"code";"list('Pflanzenschutzspritze: AP006')";"";"";""
"TECHNIK.Beschreibung";"TILLAGE";"TECHNIK";"Beschreibung";"Additional information about the agricultural engineering";"text";"";"";"";"";"";"";"";"";""
