Bonitur_ID,Versuchsjahr,Parzelle_ID,Aufgang,Ueberwinterung,Jugendentwicklung,Reihenschliessen,Aehrenschieben,Bluehbeginn,Allg_Eindruck,Standfestigkeit,Gelbreife,Bemerkungen_ID
1,1967,1,3,,5,,,19670629,7,,,65
2,1967,22,3,,5,,,19670629,7,,,65
3,1967,45,3,,5,,,19670629,7,,,65
4,1967,57,3,,5,,,19670629,7,,,65
5,1967,2,3,,2,,,19670703,3,,,65
6,1967,28,3,,2,,,19670703,3,,,65
7,1967,39,3,,2,,,19670703,3,,,65
8,1967,63,3,,2,,,19670703,3,,,65
9,1967,3,3,,2,,,19670703,1,,,65
10,1967,30,3,,2,,,19670703,1,,,65
11,1967,37,3,,2,,,19670703,1,,,65
12,1967,60,3,,2,,,19670703,1,,,65
13,1967,4,3,,3,,,19670703,1,,,65
14,1967,26,3,,3,,,19670703,1,,,65
15,1967,36,3,,3,,,19670703,1,,,65
16,1967,53,3,,3,,,19670703,1,,,65
17,1967,5,3,,4,,,19670629,6,,,65
18,1967,17,3,,4,,,19670629,6,,,65
19,1967,43,3,,4,,,19670629,6,,,65
20,1967,61,3,,4,,,19670629,6,,,65
21,1967,6,3,,2,,,19670703,3,,,65
22,1967,18,3,,2,,,19670703,3,,,65
23,1967,41,3,,2,,,19670703,3,,,65
24,1967,64,3,,2,,,19670703,3,,,65
25,1967,7,3,,2,,,19670703,1,,,65
26,1967,19,3,,2,,,19670703,1,,,65
27,1967,47,3,,2,,,19670703,1,,,65
28,1967,59,3,,2,,,19670703,1,,,65
29,1967,8,3,,3,,,19670703,1,,,65
30,1967,20,3,,3,,,19670703,1,,,65
31,1967,46,3,,3,,,19670703,1,,,65
32,1967,58,3,,3,,,19670703,1,,,65
33,1967,9,3,,4,,,19670629,5,,,65
34,1967,29,3,,4,,,19670629,5,,,65
35,1967,33,3,,4,,,19670629,5,,,65
36,1967,54,3,,4,,,19670629,5,,,65
37,1967,10,3,,2,,,19670703,1,,,65
38,1967,31,3,,2,,,19670703,1,,,65
39,1967,34,3,,2,,,19670703,1,,,65
40,1967,56,3,,2,,,19670703,1,,,65
41,1967,11,3,,2,,,19670703,1,,,65
42,1967,24,3,,2,,,19670703,1,,,65
43,1967,35,3,,2,,,19670703,1,,,65
44,1967,62,3,,2,,,19670703,1,,,65
45,1967,12,3,,3,,,19670703,1,,,65
46,1967,32,3,,3,,,19670703,1,,,65
47,1967,36,3,,3,,,19670703,1,,,65
48,1967,55,3,,3,,,19670703,1,,,65
49,1967,13,3,,4,,,19670629,4,,,65
50,1967,25,3,,4,,,19670629,4,,,65
51,1967,40,3,,4,,,19670629,4,,,65
52,1967,49,3,,4,,,19670629,4,,,65
53,1967,14,3,,2,,,19670703,2,,,65
54,1967,21,3,,2,,,19670703,2,,,65
55,1967,42,3,,2,,,19670703,2,,,65
56,1967,50,3,,2,,,19670703,2,,,65
57,1967,15,3,,2,,,19670703,1,,,65
58,1967,23,3,,2,,,19670703,1,,,65
59,1967,44,3,,2,,,19670703,1,,,65
60,1967,51,3,,2,,,19670703,1,,,65
61,1967,16,3,,2,,,19670703,1,,,65
62,1967,27,3,,2,,,19670703,1,,,65
63,1967,38,3,,2,,,19670703,1,,,65
64,1967,52,3,,2,,,19670703,1,,,65
65,1968,1,2,1,5,,19680614,,6,1,19680801,63
66,1968,22,2,1,5,,19680614,,6,1,19680801,63
67,1968,45,2,1,5,,19680614,,6,1,19680801,63
68,1968,57,2,1,5,,19680614,,6,1,19680801,63
69,1968,2,2,1,3,,19680614,,3,1,19680801,63
70,1968,28,2,1,3,,19680614,,3,1,19680801,63
71,1968,39,2,1,3,,19680614,,3,1,19680801,63
72,1968,63,2,1,3,,19680614,,3,1,19680801,63
73,1968,3,2,1,3,,19680614,,2,1,19680801,63
74,1968,30,2,1,3,,19680614,,2,1,19680801,63
75,1968,37,2,1,3,,19680614,,2,1,19680801,63
76,1968,60,2,1,3,,19680614,,2,1,19680801,63
77,1968,4,2,1,2,,19680614,,2,1,19680801,63
78,1968,26,2,1,2,,19680614,,2,1,19680801,63
79,1968,36,2,1,2,,19680614,,2,1,19680801,63
80,1968,53,2,1,2,,19680614,,2,1,19680801,63
81,1968,5,2,1,4,,19680614,,5,1,19680801,63
82,1968,17,2,1,4,,19680614,,5,1,19680801,63
83,1968,43,2,1,4,,19680614,,5,1,19680801,63
84,1968,61,2,1,4,,19680614,,5,1,19680801,63
85,1968,6,2,1,3,,19680614,,2,1,19680801,63
86,1968,18,2,1,3,,19680614,,2,1,19680801,63
87,1968,41,2,1,3,,19680614,,2,1,19680801,63
88,1968,64,2,1,3,,19680614,,2,1,19680801,63
89,1968,7,2,1,2,,19680614,,2,1,19680801,63
90,1968,19,2,1,2,,19680614,,2,1,19680801,63
91,1968,47,2,1,2,,19680614,,2,1,19680801,63
92,1968,59,2,1,2,,19680614,,2,1,19680801,63
93,1968,8,2,1,2,,19680614,,2,1,19680801,63
94,1968,20,2,1,2,,19680614,,2,1,19680801,63
95,1968,46,2,1,2,,19680614,,2,1,19680801,63
96,1968,58,2,1,2,,19680614,,2,1,19680801,63
97,1968,9,2,1,5,,19680614,,5,1,19680801,63
98,1968,29,2,1,5,,19680614,,5,1,19680801,63
99,1968,33,2,1,5,,19680614,,5,1,19680801,63
100,1968,54,2,1,5,,19680614,,5,1,19680801,63
101,1968,10,2,1,3,,19680614,,2,1,19680801,63
102,1968,31,2,1,3,,19680614,,2,1,19680801,63
103,1968,34,2,1,3,,19680614,,2,1,19680801,63
104,1968,56,2,1,3,,19680614,,2,1,19680801,63
105,1968,11,2,1,2,,19680614,,2,1,19680801,63
106,1968,24,2,1,2,,19680614,,2,1,19680801,63
107,1968,35,2,1,2,,19680614,,2,1,19680801,63
108,1968,62,2,1,2,,19680614,,2,1,19680801,63
109,1968,12,2,1,2,,19680614,,1,1,19680801,63
110,1968,32,2,1,2,,19680614,,1,1,19680801,63
111,1968,36,2,1,2,,19680614,,1,1,19680801,63
112,1968,55,2,1,2,,19680614,,1,1,19680801,63
113,1968,13,2,1,4,,19680614,,4,1,19680801,63
114,1968,25,2,1,4,,19680614,,4,1,19680801,63
115,1968,40,2,1,4,,19680614,,4,1,19680801,63
116,1968,49,2,1,4,,19680614,,4,1,19680801,63
117,1968,14,2,1,3,,19680614,,2,1,19680801,63
118,1968,21,2,1,3,,19680614,,2,1,19680801,63
119,1968,42,2,1,3,,19680614,,2,1,19680801,63
120,1968,50,2,1,3,,19680614,,2,1,19680801,63
121,1968,15,2,1,2,,19680614,,2,1,19680801,63
122,1968,23,2,1,2,,19680614,,2,1,19680801,63
123,1968,44,2,1,2,,19680614,,2,1,19680801,63
124,1968,51,2,1,2,,19680614,,2,1,19680801,63
125,1968,16,2,1,2,,19680614,,2,1,19680801,63
126,1968,27,2,1,2,,19680614,,2,1,19680801,63
127,1968,38,2,1,2,,19680614,,2,1,19680801,63
128,1968,52,2,1,2,,19680614,,2,1,19680801,63
