Pflanzenlaborwerte_ID,Probenahme_Pflanzen_ID,P2O5,K2O,N,Ertrag_Staerke,Gehalt_Staerke,Gehalt_Zucker,Blauzahl,Loesl_Trockensubstanz,Loesl_Asche,Bemerkungen_ID
1,1,0.57,3,1.37,39.4,16.1,,,,,22
2,2,0.57,3,1.37,39.4,16.1,,,,,22
3,3,0.57,3,1.37,39.4,16.1,,,,,22
4,4,0.57,3,1.37,39.4,16.1,,,,,22
5,5,0.66,2.96,1.24,58,15.8,,,,,22
6,6,0.66,2.96,1.24,58,15.8,,,,,22
7,7,0.66,2.96,1.24,58,15.8,,,,,22
8,8,0.66,2.96,1.24,58,15.8,,,,,22
9,9,0.73,3,2.41,46.5,15.3,,,,,22
10,10,0.73,3,2.41,46.5,15.3,,,,,22
11,11,0.73,3,2.41,46.5,15.3,,,,,22
12,12,0.73,3,2.41,46.5,15.3,,,,,22
13,13,1.1,3.53,1.55,36.8,14.5,,,,,22
14,14,1.1,3.53,1.55,36.8,14.5,,,,,22
15,15,1.1,3.53,1.55,36.8,14.5,,,,,22
16,16,1.1,3.53,1.55,36.8,14.5,,,,,22
17,17,0.66,3.27,1.48,47.6,16.8,,,,,22
18,18,0.66,3.27,1.48,47.6,16.8,,,,,22
19,19,0.66,3.27,1.48,47.6,16.8,,,,,22
20,20,0.66,3.27,1.48,47.6,16.8,,,,,22
21,21,0.64,2.96,1.53,61.1,16.2,,,,,22
22,22,0.64,2.96,1.53,61.1,16.2,,,,,22
23,23,0.64,2.96,1.53,61.1,16.2,,,,,22
24,24,0.64,2.96,1.53,61.1,16.2,,,,,22
25,25,0.77,3.23,1.72,41.6,13.7,,,,,22
26,26,0.77,3.23,1.72,41.6,13.7,,,,,22
27,27,0.77,3.23,1.72,41.6,13.7,,,,,22
28,28,0.77,3.23,1.72,41.6,13.7,,,,,22
29,29,0.84,3.4,2.32,33.5,13.5,,,,,22
30,30,0.84,3.4,2.32,33.5,13.5,,,,,22
31,31,0.84,3.4,2.32,33.5,13.5,,,,,22
32,32,0.84,3.4,2.32,33.5,13.5,,,,,22
33,33,0.71,3.07,1.55,48.4,15.9,,,,,22
34,34,0.71,3.07,1.55,48.4,15.9,,,,,22
35,35,0.71,3.07,1.55,48.4,15.9,,,,,22
36,36,0.71,3.07,1.55,48.4,15.9,,,,,22
37,37,0.8,3.34,1.72,57,15.5,,,,,22
38,38,0.8,3.34,1.72,57,15.5,,,,,22
39,39,0.8,3.34,1.72,57,15.5,,,,,22
40,40,0.8,3.34,1.72,57,15.5,,,,,22
41,41,0.86,3.47,2.01,43,14.4,,,,,22
42,42,0.86,3.47,2.01,43,14.4,,,,,22
43,43,0.86,3.47,2.01,43,14.4,,,,,22
44,44,0.86,3.47,2.01,43,14.4,,,,,22
45,45,0.88,3.4,2.08,30.5,14,,,,,22
46,46,0.88,3.4,2.08,30.5,14,,,,,22
47,47,0.88,3.4,2.08,30.5,14,,,,,22
48,48,0.88,3.4,2.08,30.5,14,,,,,22
49,49,0.73,3.47,1.77,59.1,16.2,,,,,22
50,50,0.73,3.47,1.77,59.1,16.2,,,,,22
51,51,0.73,3.47,1.77,59.1,16.2,,,,,22
52,52,0.73,3.47,1.77,59.1,16.2,,,,,22
53,53,0.82,3.4,1.7,59.4,15.5,,,,,22
54,54,0.82,3.4,1.7,59.4,15.5,,,,,22
55,55,0.82,3.4,1.7,59.4,15.5,,,,,22
56,56,0.82,3.4,1.7,59.4,15.5,,,,,22
57,57,0.99,3.76,2.37,41.6,13.4,,,,,22
58,58,0.99,3.76,2.37,41.6,13.4,,,,,22
59,59,0.99,3.76,2.37,41.6,13.4,,,,,22
60,60,0.99,3.76,2.37,41.6,13.4,,,,,22
61,61,1.04,3.98,2.48,27,12.6,,,,,22
62,62,1.04,3.98,2.48,27,12.6,,,,,22
63,63,1.04,3.98,2.48,27,12.6,,,,,22
64,64,1.04,3.98,2.48,27,12.6,,,,,22
65,65,,,,,,19.5,0.028,24,0.537,23
66,66,,,,,,19.5,0.028,24,0.537,23
67,67,,,,,,19.5,0.028,24,0.537,23
68,68,,,,,,19.5,0.028,24,0.537,23
69,69,,,,,,18.7,0.034,24.2,0.568,23
70,70,,,,,,18.7,0.034,24.2,0.568,23
71,71,,,,,,18.7,0.034,24.2,0.568,23
72,72,,,,,,18.7,0.034,24.2,0.568,23
73,73,,,,,,16.4,0.038,21.2,0.722,23
74,74,,,,,,16.4,0.038,21.2,0.722,23
75,75,,,,,,16.4,0.038,21.2,0.722,23
76,76,,,,,,16.4,0.038,21.2,0.722,23
77,77,,,,,,15.9,0.043,21.3,0.826,23
78,78,,,,,,15.9,0.043,21.3,0.826,23
79,79,,,,,,15.9,0.043,21.3,0.826,23
80,80,,,,,,15.9,0.043,21.3,0.826,23
81,81,,,,,,17.9,0.031,22.4,0.579,23
82,82,,,,,,17.9,0.031,22.4,0.579,23
83,83,,,,,,17.9,0.031,22.4,0.579,23
84,84,,,,,,17.9,0.031,22.4,0.579,23
85,85,,,,,,16.9,0.043,21.2,0.67,23
86,86,,,,,,16.9,0.043,21.2,0.67,23
87,87,,,,,,16.9,0.043,21.2,0.67,23
88,88,,,,,,16.9,0.043,21.2,0.67,23
89,89,,,,,,15.3,0.043,21,0.761,23
90,90,,,,,,15.3,0.043,21,0.761,23
91,91,,,,,,15.3,0.043,21,0.761,23
92,92,,,,,,15.3,0.043,21,0.761,23
93,93,,,,,,14.7,0.054,20,0.851,23
94,94,,,,,,14.7,0.054,20,0.851,23
95,95,,,,,,14.7,0.054,20,0.851,23
96,96,,,,,,14.7,0.054,20,0.851,23
97,97,,,,,,16.7,0.031,21,0.595,23
98,98,,,,,,16.7,0.031,21,0.595,23
99,99,,,,,,16.7,0.031,21,0.595,23
100,100,,,,,,16.7,0.031,21,0.595,23
101,101,,,,,,16,0.036,20.2,0.654,23
102,102,,,,,,16,0.036,20.2,0.654,23
103,103,,,,,,16,0.036,20.2,0.654,23
104,104,,,,,,16,0.036,20.2,0.654,23
105,105,,,,,,15.5,0.047,20.4,0.766,23
106,106,,,,,,15.5,0.047,20.4,0.766,23
107,107,,,,,,15.5,0.047,20.4,0.766,23
108,108,,,,,,15.5,0.047,20.4,0.766,23
109,109,,,,,,14.6,0.053,20.2,0.868,23
110,110,,,,,,14.6,0.053,20.2,0.868,23
111,111,,,,,,14.6,0.053,20.2,0.868,23
112,112,,,,,,14.6,0.053,20.2,0.868,23
113,113,,,,,,16.6,0.046,20.8,0.61,23
114,114,,,,,,16.6,0.046,20.8,0.61,23
115,115,,,,,,16.6,0.046,20.8,0.61,23
116,116,,,,,,16.6,0.046,20.8,0.61,23
117,117,,,,,,15.7,0.043,21,0.714,23
