Probenahme_Pflanzen_ID,Versuchsjahr,Parzelle_ID
1,1967,1
2,1967,22
3,1967,45
4,1967,57
5,1967,2
6,1967,28
7,1967,39
8,1967,63
9,1967,3
10,1967,30
11,1967,37
12,1967,60
13,1967,4
14,1967,26
15,1967,36
16,1967,53
17,1967,5
18,1967,17
19,1967,43
20,1967,61
21,1967,6
22,1967,18
23,1967,41
24,1967,64
25,1967,7
26,1967,19
27,1967,47
28,1967,59
29,1967,8
30,1967,20
31,1967,46
32,1967,58
33,1967,9
34,1967,29
35,1967,33
36,1967,54
37,1967,10
38,1967,31
39,1967,34
40,1967,56
41,1967,11
42,1967,24
43,1967,35
44,1967,62
45,1967,12
46,1967,32
47,1967,36
48,1967,55
49,1967,13
50,1967,25
51,1967,40
52,1967,49
53,1967,14
54,1967,21
55,1967,42
56,1967,50
57,1967,15
58,1967,23
59,1967,44
60,1967,51
61,1967,16
62,1967,27
63,1967,38
64,1967,52
65,1969,1
66,1969,22
67,1969,45
68,1969,57
69,1969,2
70,1969,28
71,1969,39
72,1969,63
73,1969,3
74,1969,30
75,1969,37
76,1969,60
77,1969,4
78,1969,26
79,1969,36
80,1969,53
81,1969,5
82,1969,17
83,1969,43
84,1969,61
85,1969,6
86,1969,18
87,1969,41
88,1969,64
89,1969,7
90,1969,19
91,1969,47
92,1969,59
93,1969,8
94,1969,20
95,1969,46
96,1969,58
97,1969,9
98,1969,29
99,1969,33
100,1969,54
101,1969,10
102,1969,31
103,1969,34
104,1969,56
105,1969,11
106,1969,24
107,1969,35
108,1969,62
109,1969,12
110,1969,32
111,1969,36
112,1969,55
113,1969,13
114,1969,25
115,1969,40
116,1969,49
117,1969,14
118,1969,21
119,1969,42
120,1969,50
121,1969,15
122,1969,23
123,1969,44
124,1969,51
125,1969,16
126,1969,27
127,1969,38
128,1969,52
129,1971,1
130,1971,22
131,1971,45
132,1971,57
133,1971,2
134,1971,28
135,1971,39
136,1971,63
137,1971,3
138,1971,30
139,1971,37
140,1971,60
141,1971,4
142,1971,26
143,1971,36
144,1971,53
145,1971,5
146,1971,17
147,1971,43
148,1971,61
149,1971,6
150,1971,18
151,1971,41
152,1971,64
153,1971,7
154,1971,19
155,1971,47
156,1971,59
157,1971,8
158,1971,20
159,1971,46
160,1971,58
161,1971,9
162,1971,29
163,1971,33
164,1971,54
165,1971,10
166,1971,31
167,1971,34
168,1971,56
169,1971,11
170,1971,24
171,1971,35
172,1971,62
173,1971,12
174,1971,32
175,1971,36
176,1971,55
177,1971,13
178,1971,25
179,1971,40
180,1971,49
181,1971,14
182,1971,21
183,1971,42
184,1971,50
185,1971,15
186,1971,23
187,1971,44
188,1971,51
189,1971,16
190,1971,27
191,1971,38
192,1971,52
193,1975,1
194,1975,22
195,1975,45
196,1975,57
197,1975,2
198,1975,28
199,1975,39
200,1975,63
201,1975,3
202,1975,30
203,1975,37
204,1975,60
205,1975,4
206,1975,26
207,1975,36
208,1975,53
209,1975,5
210,1975,17
211,1975,43
212,1975,61
213,1975,6
214,1975,18
215,1975,41
216,1975,64
217,1975,7
218,1975,19
219,1975,47
220,1975,59
221,1975,8
222,1975,20
223,1975,46
224,1975,58
225,1975,9
226,1975,29
227,1975,33
228,1975,54
229,1975,10
230,1975,31
231,1975,34
232,1975,56
233,1975,11
234,1975,24
235,1975,35
236,1975,62
237,1975,12
238,1975,32
239,1975,36
240,1975,55
241,1975,13
242,1975,25
243,1975,40
244,1975,49
245,1975,14
246,1975,21
247,1975,42
248,1975,50
249,1975,15
250,1975,23
251,1975,44
252,1975,51
253,1975,16
254,1975,27
255,1975,38
256,1975,52
257,1977,1
258,1977,22
259,1977,45
260,1977,57
261,1977,2
262,1977,28
263,1977,39
264,1977,63
265,1977,3
266,1977,30
267,1977,37
268,1977,60
269,1977,4
270,1977,26
271,1977,36
272,1977,53
273,1977,5
274,1977,17
275,1977,43
276,1977,61
277,1977,6
278,1977,18
279,1977,41
280,1977,64
281,1977,7
282,1977,19
283,1977,47
284,1977,59
285,1977,8
286,1977,20
287,1977,46
288,1977,58
289,1977,9
290,1977,29
291,1977,33
292,1977,54
