Bodenlaborwerte_ID,Probenahme_Boden_ID,Trockenrohdichte,Porenvolumen,Grobporen,kF,NO3_N,NH4_N,Nmin,Nt,Nhwl,Cmik,Ct,Chwl,CN_Verhaeltnis,pH,P,K
1,1,,,,,,,,0.095,,,1,,10.5263157894737,,,
2,2,,,,,,,,0.095,,,0.95,,10,,,
3,3,,,,,,,,0.095,,,0.93,,9.78947368421053,,,
4,4,,,,,,,,0.095,,,0.92,,9.68421052631579,,,
5,5,,,,,,,,0.095,,,0.91,,9.57894736842105,,,
6,6,,,,,,,,0.095,,,0.97,,10.2105263157895,,,
7,7,,,,,,,,0.095,,,0.97,,10.2105263157895,,,
8,8,,,,,,,,0.095,,,0.96,,10.1052631578947,,,
9,9,,,,,,,,0.095,,,0.96,,10.1052631578947,,,
10,10,,,,,,,,0.095,,,0.91,,9.57894736842105,,,
11,11,,,,,,,,0.095,,,0.85,,8.94736842105263,,,
12,12,,,,,,,,0.095,,,0.95,,10,,,
13,13,,,,,,,,0.095,,,0.93,,9.78947368421053,,,
14,14,,,,,,,,0.095,,,0.96,,10.1052631578947,,,
15,15,,,,,,,,0.095,,,0.96,,10.1052631578947,,,
16,16,,,,,,,,0.095,,,0.88,,9.26315789473684,,,
17,17,,,,,,,,0.095,,,0.83,,8.73684210526316,,,
18,18,,,,,,,,0.095,,,0.91,,9.57894736842105,,,
19,19,,,,,,,,0.095,,,1.07,,11.2631578947368,,,
20,20,,,,,,,,0.095,,,0.92,,9.68421052631579,,,
21,21,,,,,,,,0.095,,,0.92,,9.68421052631579,,,
22,22,,,,,,,,0.095,,,0.95,,10,,,
23,23,,,,,,,,0.095,,,0.99,,10.4210526315789,,,
24,24,,,,,,,,0.095,,,0.96,,10.1052631578947,,,
25,25,,,,,,,,0.095,,,0.97,,10.2105263157895,,,
26,26,,,,,,,,0.095,,,0.97,,10.2105263157895,,,
27,27,,,,,,,,0.095,,,0.97,,10.2105263157895,,,
28,28,,,,,,,,0.095,,,0.95,,10,,,
29,29,,,,,,,,0.095,,,0.98,,10.3157894736842,,,
30,30,,,,,,,,0.095,,,0.98,,10.3157894736842,,,
31,31,,,,,,,,0.095,,,0.91,,9.57894736842105,,,
32,32,,,,,,,,0.095,,,0.94,,9.89473684210526,,,
33,33,,,,,,,,0.095,,,0.94,,9.89473684210526,,,
34,34,,,,,,,,0.095,,,0.99,,10.4210526315789,,,
35,35,,,,,,,,0.095,,,0.89,,9.36842105263158,,,
36,36,,,,,,,,0.095,,,0.91,,9.57894736842105,,,
37,37,,,,,,,,0.095,,,0.92,,9.68421052631579,,,
38,38,,,,,,,,0.095,,,0.99,,10.4210526315789,,,
39,39,,,,,,,,0.095,,,0.96,,10.1052631578947,,,
40,40,,,,,,,,0.095,,,0.89,,9.36842105263158,,,
41,41,,,,,,,,0.095,,,0.97,,10.2105263157895,,,
42,42,,,,,,,,0.095,,,0.92,,9.68421052631579,,,
43,43,,,,,,,,0.095,,,0.89,,9.36842105263158,,,
44,44,,,,,,,,0.095,,,0.91,,9.57894736842105,,,
45,45,,,,,,,,0.095,,,0.99,,10.4210526315789,,,
46,46,,,,,,,,0.095,,,0.92,,9.68421052631579,,,
47,47,,,,,,,,0.095,,,0.88,,9.26315789473684,,,
48,48,,,,,,,,0.095,,,0.93,,9.78947368421053,,,
49,49,,,,,,,,0.095,,,0.97,,10.2105263157895,,,
50,50,,,,,,,,0.095,,,0.92,,9.68421052631579,,,
51,51,,,,,,,,0.095,,,0.94,,9.89473684210526,,,
52,52,,,,,,,,0.095,,,0.81,,8.52631578947368,,,
53,53,,,,,,,,0.095,,,1.04,,10.9473684210526,,,
54,54,,,,,,,,0.095,,,0.89,,9.36842105263158,,,
55,55,,,,,,,,0.095,,,0.92,,9.68421052631579,,,
56,56,,,,,,,,0.095,,,0.93,,9.78947368421053,,,
57,57,,,,,,,,0.095,,,1.04,,10.9473684210526,,,
58,58,,,,,,,,0.095,,,0.94,,9.89473684210526,,,
59,59,,,,,,,,0.095,,,1.04,,10.9473684210526,,,
60,60,,,,,,,,0.095,,,0.91,,9.57894736842105,,,
61,61,,,,,,,,0.095,,,0.9,,9.47368421052632,,,
62,62,,,,,,,,0.095,,,0.97,,10.2105263157895,,,
63,63,,,,,,,,0.095,,,0.98,,10.3157894736842,,,
64,64,,,,,,,,0.095,,,0.9,,9.47368421052632,,,
65,65,,,,,,,,0.097,,,0.93,,9.58762886597938,,,
66,66,,,,,,,,0.083,,,0.84,,10.1204819277108,,,
67,67,,,,,,,,0.107,,,0.84,,7.85046728971963,,,
68,68,,,,,,,,0.091,,,0.84,,9.23076923076923,,,
69,69,,,,,,,,0.091,,,0.8,,8.79120879120879,,,
70,70,,,,,,,,0.099,,,0.91,,9.19191919191919,,,
71,71,,,,,,,,0.102,,,0.9,,8.82352941176471,,,
72,72,,,,,,,,0.102,,,0.93,,9.11764705882353,,,
73,73,,,,,,,,0.093,,,0.89,,9.56989247311828,,,
74,74,,,,,,,,0.106,,,0.93,,8.77358490566038,,,
75,75,,,,,,,,0.087,,,0.82,,9.42528735632184,,,
76,76,,,,,,,,0.101,,,0.89,,8.81188118811881,,,
77,77,,,,,,,,0.096,,,0.82,,8.54166666666667,,,
78,78,,,,,,,,0.092,,,0.86,,9.34782608695652,,,
79,79,,,,,,,,0.101,,,0.94,,9.30693069306931,,,
80,80,,,,,,,,0.093,,,0.89,,9.56989247311828,,,
81,81,,,,,,,,0.103,,,0.78,,7.57281553398058,,,
82,82,,,,,,,,0.097,,,0.83,,8.55670103092783,,,
