Ertrag_ID,Ernte_ID,Hp_Frischmasse,Hp_Trockenmasse,Hp_Trockensubstanzgehalt,Np_Frischmasse,Np_Trockenmasse,TKG
1,1,205.8,,19.6,,,
2,2,364.2,,19.6,,,
3,3,333.4,,19.6,,,
4,4,269.2,,19.6,,,
5,5,239.2,,20.1,,,
6,6,369.2,,20.1,,,
7,7,332.5,,20.1,,,
8,8,252.1,,20.1,,,
9,9,224.6,,21.1,,,
10,10,405.4,,21.1,,,
11,11,323.4,,21.1,,,
12,12,215.4,,21.1,,,
13,13,367.5,,18,,,
14,14,390.9,,18,,,
15,15,274.2,,18,,,
16,16,188.3,,18,,,
17,17,256.7,,21.2,,,
18,18,360,,21.2,,,
19,19,312.9,,21.2,,,
20,20,246.7,,21.2,,,
21,21,258.4,,20.5,,,
22,22,375,,20.5,,,
23,23,285,,20.5,,,
24,24,231.3,,20.5,,,
25,25,312.5,,20.7,,,
26,26,346.7,,20.7,,,
27,27,300.4,,20.7,,,
28,28,208.8,,20.7,,,
29,29,393.8,,18.1,,,
30,30,367.5,,18.1,,,
31,31,284.2,,18.1,,,
32,32,208.4,,18.1,,,
33,33,256.7,,20.4,,,
34,34,373.8,,20.4,,,
35,35,278.8,,20.4,,,
36,36,255.9,,20.4,,,
37,37,342.9,,18.8,,,
38,38,377.5,,18.8,,,
39,39,333.8,,18.8,,,
40,40,270.9,,18.8,,,
41,41,332.1,,19,,,
42,42,375.9,,19,,,
43,43,277.9,,19,,,
44,44,227.5,,19,,,
45,45,377.1,,18,,,
46,46,423,,18,,,
47,47,341.3,,18,,,
48,48,233.4,,18,,,
49,49,259.2,,20.6,,,
50,50,370,,20.6,,,
51,51,291.3,,20.6,,,
52,52,242.9,,20.6,,,
53,53,293.4,,20,,,
54,54,386.3,,20,,,
55,55,262.9,,20,,,
56,56,238.8,,20,,,
57,57,347.9,,18.3,,,
58,58,342.5,,18.3,,,
59,59,291.7,,18.3,,,
60,60,219.6,,18.3,,,
61,61,320.9,,16,,,
62,62,351.7,,16,,,
63,63,342.9,,16,,,
64,64,225.9,,16,,,
65,65,44.5,38.27,86,45,88.8,
66,66,56.6,48.676,86,66.7,88.8,
67,67,55.5,47.73,86,71.7,88.8,
68,68,53.3,45.838,86,72.7,88.8,
69,69,46.7,40.162,86,45,87.5,
70,70,58.4,50.224,86,70.8,87.5,
71,71,53.1,45.666,86,72.8,87.5,
72,72,51,43.86,86,73.4,87.5,
73,73,50.8,43.688,86,50.8,89.3,
74,74,58.9,50.654,86,68.8,89.3,
75,75,54.4,46.784,86,73,89.3,
76,76,54.1,46.526,86,77,89.3,
77,77,53.9,46.354,86,57.2,86.5,
78,78,56.5,48.59,86,72.3,86.5,
79,79,53.4,45.924,86,76.1,86.5,
80,80,52.5,45.15,86,76.4,86.5,
81,81,44.5,38.27,86,45,90,
82,82,56.6,48.676,86,66.7,90,
83,83,55.5,47.73,86,71.7,90,
84,84,53.3,45.838,86,72.7,90,
85,85,46.7,40.162,86,45,88.5,
86,86,58.4,50.224,86,70.8,88.5,
87,87,53.1,45.666,86,72.8,88.5,
88,88,51,43.86,86,73.4,88.5,
89,89,50.8,43.688,86,50.8,89.5,
90,90,58.9,50.654,86,68.8,89.5,
91,91,54.4,46.784,86,73,89.5,
92,92,54.1,46.526,86,77,89.5,
93,93,53.9,46.354,86,57.2,90.3,
94,94,56.5,48.59,86,72.3,90.3,
95,95,53.4,45.924,86,76.1,90.3,
96,96,52.5,45.15,86,76.4,90.3,
97,97,44.5,38.27,86,45,89.3,
98,98,56.6,48.676,86,66.7,89.3,
99,99,55.5,47.73,86,71.7,89.3,
100,100,53.3,45.838,86,72.7,89.3,
101,101,46.7,40.162,86,45,90.5,
102,102,58.4,50.224,86,70.8,90.5,
103,103,53.1,45.666,86,72.8,90.5,
104,104,51,43.86,86,73.4,90.5,
105,105,50.8,43.688,86,50.8,89.5,
106,106,58.9,50.654,86,68.8,89.5,
107,107,54.4,46.784,86,73,89.5,
108,108,54.1,46.526,86,77,89.5,
109,109,53.9,46.354,86,57.2,90.8,
110,110,56.5,48.59,86,72.3,90.8,
111,111,53.4,45.924,86,76.1,90.8,
112,112,52.5,45.15,86,76.4,90.8,
113,113,44.5,38.27,86,45,89.8,
114,114,56.6,48.676,86,66.7,89.8,
