Ernte_ID,Versuchsjahr,Termin,Parzelle_ID,Saat_Pflanzgut_ID,Ganzflaechig,Technik_ID
1,1967,19671002,1,1,1,24
2,1967,19671002,2,1,1,24
3,1967,19671002,3,1,1,24
4,1967,19671002,4,1,1,24
5,1967,19671002,5,1,1,24
6,1967,19671002,6,1,1,24
7,1967,19671002,7,1,1,24
8,1967,19671002,8,1,1,24
9,1967,19671002,9,1,1,24
10,1967,19671002,10,1,1,24
11,1967,19671002,11,1,1,24
12,1967,19671002,12,1,1,24
13,1967,19671002,13,1,1,24
14,1967,19671002,14,1,1,24
15,1967,19671002,15,1,1,24
16,1967,19671002,16,1,1,24
17,1967,19671002,22,1,1,24
18,1967,19671002,28,1,1,24
19,1967,19671002,30,1,1,24
20,1967,19671002,26,1,1,24
21,1967,19671002,17,1,1,24
22,1967,19671002,18,1,1,24
23,1967,19671002,19,1,1,24
24,1967,19671002,20,1,1,24
25,1967,19671002,29,1,1,24
26,1967,19671002,31,1,1,24
27,1967,19671002,24,1,1,24
28,1967,19671002,32,1,1,24
29,1967,19671002,25,1,1,24
30,1967,19671002,21,1,1,24
31,1967,19671002,23,1,1,24
32,1967,19671002,27,1,1,24
33,1967,19671002,45,1,1,24
34,1967,19671002,39,1,1,24
35,1967,19671002,37,1,1,24
36,1967,19671002,48,1,1,24
37,1967,19671002,43,1,1,24
38,1967,19671002,41,1,1,24
39,1967,19671002,47,1,1,24
40,1967,19671002,46,1,1,24
41,1967,19671002,33,1,1,24
42,1967,19671002,34,1,1,24
43,1967,19671002,35,1,1,24
44,1967,19671002,36,1,1,24
45,1967,19671002,40,1,1,24
46,1967,19671002,42,1,1,24
47,1967,19671002,44,1,1,24
48,1967,19671002,38,1,1,24
49,1967,19671002,57,1,1,24
50,1967,19671002,63,1,1,24
51,1967,19671002,60,1,1,24
52,1967,19671002,53,1,1,24
53,1967,19671002,61,1,1,24
54,1967,19671002,64,1,1,24
55,1967,19671002,59,1,1,24
56,1967,19671002,58,1,1,24
57,1967,19671002,54,1,1,24
58,1967,19671002,56,1,1,24
59,1967,19671002,62,1,1,24
60,1967,19671002,55,1,1,24
61,1967,19671002,49,1,1,24
62,1967,19671002,50,1,1,24
63,1967,19671002,51,1,1,24
64,1967,19671002,52,1,1,24
65,1968,19680816,1,2,1,21
66,1968,19680816,2,2,1,21
67,1968,19680816,3,2,1,21
68,1968,19680816,4,2,1,21
69,1968,19680816,5,2,1,21
70,1968,19680816,6,2,1,21
71,1968,19680816,7,2,1,21
72,1968,19680816,8,2,1,21
73,1968,19680816,9,2,1,21
74,1968,19680816,10,2,1,21
75,1968,19680816,11,2,1,21
76,1968,19680816,12,2,1,21
77,1968,19680816,13,2,1,21
78,1968,19680816,14,2,1,21
79,1968,19680816,15,2,1,21
80,1968,19680816,16,2,1,21
81,1968,19680816,22,2,1,21
82,1968,19680816,28,2,1,21
83,1968,19680816,30,2,1,21
84,1968,19680816,26,2,1,21
85,1968,19680816,17,2,1,21
86,1968,19680816,18,2,1,21
87,1968,19680816,19,2,1,21
88,1968,19680816,20,2,1,21
89,1968,19680816,29,2,1,21
90,1968,19680816,31,2,1,21
91,1968,19680816,24,2,1,21
92,1968,19680816,32,2,1,21
93,1968,19680816,25,2,1,21
94,1968,19680816,21,2,1,21
95,1968,19680816,23,2,1,21
96,1968,19680816,27,2,1,21
97,1968,19680816,45,2,1,21
98,1968,19680816,39,2,1,21
99,1968,19680816,37,2,1,21
100,1968,19680816,48,2,1,21
101,1968,19680816,43,2,1,21
102,1968,19680816,41,2,1,21
103,1968,19680816,47,2,1,21
104,1968,19680816,46,2,1,21
105,1968,19680816,33,2,1,21
106,1968,19680816,34,2,1,21
107,1968,19680816,35,2,1,21
108,1968,19680816,36,2,1,21
109,1968,19680816,40,2,1,21
110,1968,19680816,42,2,1,21
111,1968,19680816,44,2,1,21
112,1968,19680816,38,2,1,21
113,1968,19680816,57,2,1,21
114,1968,19680816,63,2,1,21
115,1968,19680816,60,2,1,21
116,1968,19680816,53,2,1,21
117,1968,19680816,61,2,1,21
118,1968,19680816,64,2,1,21
119,1968,19680816,59,2,1,21
120,1968,19680816,58,2,1,21
121,1968,19680816,54,2,1,21
122,1968,19680816,56,2,1,21
123,1968,19680816,62,2,1,21
124,1968,19680816,55,2,1,21
125,1968,19680816,49,2,1,21
126,1968,19680816,50,2,1,21
127,1968,19680816,51,2,1,21
128,1968,19680816,52,2,1,21
129,1969,19691023,1,3,1,20
130,1969,19691023,2,3,1,20
131,1969,19691023,3,3,1,20
132,1969,19691023,4,3,1,20
133,1969,19691023,5,3,1,20
134,1969,19691023,6,3,1,20
135,1969,19691023,7,3,1,20
136,1969,19691023,8,3,1,20
137,1969,19691023,9,3,1,20
138,1969,19691023,10,3,1,20
139,1969,19691023,11,3,1,20
140,1969,19691023,12,3,1,20
141,1969,19691023,13,3,1,20
142,1969,19691023,14,3,1,20
143,1969,19691023,15,3,1,20
144,1969,19691023,16,3,1,20
145,1969,19691023,22,3,1,20
146,1969,19691023,28,3,1,20
147,1969,19691023,30,3,1,20
148,1969,19691023,26,3,1,20
149,1969,19691023,17,3,1,20
150,1969,19691023,18,3,1,20
151,1969,19691023,19,3,1,20
152,1969,19691023,20,3,1,20
153,1969,19691023,29,3,1,20
154,1969,19691023,31,3,1,20
155,1969,19691023,24,3,1,20
156,1969,19691023,32,3,1,20
157,1969,19691023,25,3,1,20
158,1969,19691023,21,3,1,20
159,1969,19691023,23,3,1,20
160,1969,19691023,27,3,1,20
161,1969,19691023,45,3,1,20
162,1969,19691023,39,3,1,20
163,1969,19691023,37,3,1,20
164,1969,19691023,48,3,1,20
165,1969,19691023,43,3,1,20
166,1969,19691023,41,3,1,20
167,1969,19691023,47,3,1,20
168,1969,19691023,46,3,1,20
169,1969,19691023,33,3,1,20
170,1969,19691023,34,3,1,20
171,1969,19691023,35,3,1,20
172,1969,19691023,36,3,1,20
173,1969,19691023,40,3,1,20
174,1969,19691023,42,3,1,20
175,1969,19691023,44,3,1,20
176,1969,19691023,38,3,1,20
177,1969,19691023,57,3,1,20
178,1969,19691023,63,3,1,20
179,1969,19691023,60,3,1,20
180,1969,19691023,53,3,1,20
181,1969,19691023,61,3,1,20
182,1969,19691023,64,3,1,20
183,1969,19691023,59,3,1,20
184,1969,19691023,58,3,1,20
185,1969,19691023,54,3,1,20
186,1969,19691023,56,3,1,20
187,1969,19691023,62,3,1,20
188,1969,19691023,55,3,1,20
189,1969,19691023,49,3,1,20
190,1969,19691023,50,3,1,20
191,1969,19691023,51,3,1,20
192,1969,19691023,52,3,1,20
193,1969,19691030,1,3,1,18
194,1969,19691030,2,3,1,18
195,1969,19691030,3,3,1,18
196,1969,19691030,4,3,1,18
197,1969,19691030,5,3,1,18
198,1969,19691030,6,3,1,18
199,1969,19691030,7,3,1,18
200,1969,19691030,8,3,1,18
201,1969,19691030,9,3,1,18
202,1969,19691030,10,3,1,18
203,1969,19691030,11,3,1,18
204,1969,19691030,12,3,1,18
205,1969,19691030,13,3,1,18
206,1969,19691030,14,3,1,18
207,1969,19691030,15,3,1,18
208,1969,19691030,16,3,1,18
209,1969,19691030,22,3,1,18
210,1969,19691030,28,3,1,18
211,1969,19691030,30,3,1,18
212,1969,19691030,26,3,1,18
213,1969,19691030,17,3,1,18
214,1969,19691030,18,3,1,18
215,1969,19691030,19,3,1,18
216,1969,19691030,20,3,1,18
217,1969,19691030,29,3,1,18
218,1969,19691030,31,3,1,18
219,1969,19691030,24,3,1,18
220,1969,19691030,32,3,1,18
221,1969,19691030,25,3,1,18
222,1969,19691030,21,3,1,18
223,1969,19691030,23,3,1,18
224,1969,19691030,27,3,1,18
225,1969,19691030,45,3,1,18
226,1969,19691030,39,3,1,18
227,1969,19691030,37,3,1,18
228,1969,19691030,48,3,1,18
229,1969,19691030,43,3,1,18
230,1969,19691030,41,3,1,18
231,1969,19691030,47,3,1,18
232,1969,19691030,46,3,1,18
233,1969,19691030,33,3,1,18
234,1969,19691030,34,3,1,18
235,1969,19691030,35,3,1,18
236,1969,19691030,36,3,1,18
237,1969,19691030,40,3,1,18
238,1969,19691030,42,3,1,18
239,1969,19691030,44,3,1,18
240,1969,19691030,38,3,1,18
241,1969,19691030,57,3,1,18
242,1969,19691030,63,3,1,18
243,1969,19691030,60,3,1,18
244,1969,19691030,53,3,1,18
245,1969,19691030,61,3,1,18
246,1969,19691030,64,3,1,18
247,1969,19691030,59,3,1,18
248,1969,19691030,58,3,1,18
249,1969,19691030,54,3,1,18
250,1969,19691030,56,3,1,18
251,1969,19691030,62,3,1,18
252,1969,19691030,55,3,1,18
253,1969,19691030,49,3,1,18
254,1969,19691030,50,3,1,18
255,1969,19691030,51,3,1,18
256,1969,19691030,52,3,1,18
257,1970,19700805,1,4,1,21
258,1970,19700805,2,4,1,21
259,1970,19700805,3,4,1,21
260,1970,19700805,4,4,1,21
261,1970,19700805,5,4,1,21
262,1970,19700805,6,4,1,21
263,1970,19700805,7,4,1,21
264,1970,19700805,8,4,1,21
265,1970,19700805,9,4,1,21
266,1970,19700805,10,4,1,21
267,1970,19700805,11,4,1,21
268,1970,19700805,12,4,1,21
269,1970,19700805,13,4,1,21
270,1970,19700805,14,4,1,21
271,1970,19700805,15,4,1,21
272,1970,19700805,16,4,1,21
273,1970,19700805,22,4,1,21
274,1970,19700805,28,4,1,21
275,1970,19700805,30,4,1,21
276,1970,19700805,26,4,1,21
277,1970,19700805,17,4,1,21
278,1970,19700805,18,4,1,21
279,1970,19700805,19,4,1,21
280,1970,19700805,20,4,1,21
281,1970,19700805,29,4,1,21
282,1970,19700805,31,4,1,21
283,1970,19700805,24,4,1,21
284,1970,19700805,32,4,1,21
285,1970,19700805,25,4,1,21
286,1970,19700805,21,4,1,21
287,1970,19700805,23,4,1,21
288,1970,19700805,27,4,1,21
289,1970,19700805,45,4,1,21
290,1970,19700805,39,4,1,21
291,1970,19700805,37,4,1,21
292,1970,19700805,48,4,1,21
293,1970,19700805,43,4,1,21
294,1970,19700805,41,4,1,21
295,1970,19700805,47,4,1,21
296,1970,19700805,46,4,1,21
297,1970,19700805,33,4,1,21
298,1970,19700805,34,4,1,21
299,1970,19700805,35,4,1,21
300,1970,19700805,36,4,1,21
301,1970,19700805,40,4,1,21
302,1970,19700805,42,4,1,21
303,1970,19700805,44,4,1,21
304,1970,19700805,38,4,1,21
305,1970,19700805,57,4,1,21
306,1970,19700805,63,4,1,21
307,1970,19700805,60,4,1,21
308,1970,19700805,53,4,1,21
309,1970,19700805,61,4,1,21
310,1970,19700805,64,4,1,21
311,1970,19700805,59,4,1,21
312,1970,19700805,58,4,1,21
313,1970,19700805,54,4,1,21
314,1970,19700805,56,4,1,21
315,1970,19700805,62,4,1,21
316,1970,19700805,55,4,1,21
317,1970,19700805,49,4,1,21
318,1970,19700805,50,4,1,21
319,1970,19700805,51,4,1,21
320,1970,19700805,52,4,1,21
321,1971,19710928,1,5,1,24
322,1971,19710928,2,5,1,24
323,1971,19710928,3,5,1,24
324,1971,19710928,4,5,1,24
325,1971,19710928,5,5,1,24
326,1971,19710928,6,5,1,24
327,1971,19710928,7,5,1,24
328,1971,19710928,8,5,1,24
329,1971,19710928,9,5,1,24
330,1971,19710928,10,5,1,24
331,1971,19710928,11,5,1,24
332,1971,19710928,12,5,1,24
333,1971,19710928,13,5,1,24
334,1971,19710928,14,5,1,24
335,1971,19710928,15,5,1,24
336,1971,19710928,16,5,1,24
337,1971,19710928,22,5,1,24
338,1971,19710928,28,5,1,24
339,1971,19710928,30,5,1,24
340,1971,19710928,26,5,1,24
341,1971,19710928,17,5,1,24
342,1971,19710928,18,5,1,24
343,1971,19710928,19,5,1,24
344,1971,19710928,20,5,1,24
345,1971,19710928,29,5,1,24
346,1971,19710928,31,5,1,24
347,1971,19710928,24,5,1,24
348,1971,19710928,32,5,1,24
349,1971,19710928,25,5,1,24
350,1971,19710928,21,5,1,24
351,1971,19710928,23,5,1,24
352,1971,19710928,27,5,1,24
353,1971,19710928,45,5,1,24
354,1971,19710928,39,5,1,24
355,1971,19710928,37,5,1,24
356,1971,19710928,48,5,1,24
357,1971,19710928,43,5,1,24
358,1971,19710928,41,5,1,24
359,1971,19710928,47,5,1,24
360,1971,19710928,46,5,1,24
361,1971,19710928,33,5,1,24
362,1971,19710928,34,5,1,24
363,1971,19710928,35,5,1,24
364,1971,19710928,36,5,1,24
365,1971,19710928,40,5,1,24
366,1971,19710928,42,5,1,24
367,1971,19710928,44,5,1,24
368,1971,19710928,38,5,1,24
369,1971,19710928,57,5,1,24
370,1971,19710928,63,5,1,24
371,1971,19710928,60,5,1,24
372,1971,19710928,53,5,1,24
373,1971,19710928,61,5,1,24
374,1971,19710928,64,5,1,24
375,1971,19710928,59,5,1,24
376,1971,19710928,58,5,1,24
377,1971,19710928,54,5,1,24
378,1971,19710928,56,5,1,24
379,1971,19710928,62,5,1,24
380,1971,19710928,55,5,1,24
381,1971,19710928,49,5,1,24
382,1971,19710928,50,5,1,24
383,1971,19710928,51,5,1,24
384,1971,19710928,52,5,1,24
385,1972,19720819,1,6,1,21
386,1972,19720819,2,6,1,21
387,1972,19720819,3,6,1,21
388,1972,19720819,4,6,1,21
389,1972,19720819,5,6,1,21
390,1972,19720819,6,6,1,21
391,1972,19720819,7,6,1,21
392,1972,19720819,8,6,1,21
393,1972,19720819,9,6,1,21
394,1972,19720819,10,6,1,21
395,1972,19720819,11,6,1,21
396,1972,19720819,12,6,1,21
397,1972,19720819,13,6,1,21
398,1972,19720819,14,6,1,21
399,1972,19720819,15,6,1,21
400,1972,19720819,16,6,1,21
401,1972,19720819,22,6,1,21
402,1972,19720819,28,6,1,21
403,1972,19720819,30,6,1,21
404,1972,19720819,26,6,1,21
405,1972,19720819,17,6,1,21
406,1972,19720819,18,6,1,21
407,1972,19720819,19,6,1,21
408,1972,19720819,20,6,1,21
409,1972,19720819,29,6,1,21
410,1972,19720819,31,6,1,21
411,1972,19720819,24,6,1,21
412,1972,19720819,32,6,1,21
413,1972,19720819,25,6,1,21
414,1972,19720819,21,6,1,21
415,1972,19720819,23,6,1,21
416,1972,19720819,27,6,1,21
417,1972,19720819,45,6,1,21
418,1972,19720819,39,6,1,21
419,1972,19720819,37,6,1,21
420,1972,19720819,48,6,1,21
421,1972,19720819,43,6,1,21
422,1972,19720819,41,6,1,21
423,1972,19720819,47,6,1,21
424,1972,19720819,46,6,1,21
425,1972,19720819,33,6,1,21
426,1972,19720819,34,6,1,21
427,1972,19720819,35,6,1,21
428,1972,19720819,36,6,1,21
429,1972,19720819,40,6,1,21
430,1972,19720819,42,6,1,21
431,1972,19720819,44,6,1,21
432,1972,19720819,38,6,1,21
433,1972,19720819,57,6,1,21
434,1972,19720819,63,6,1,21
435,1972,19720819,60,6,1,21
436,1972,19720819,53,6,1,21
437,1972,19720819,61,6,1,21
438,1972,19720819,64,6,1,21
439,1972,19720819,59,6,1,21
440,1972,19720819,58,6,1,21
441,1972,19720819,54,6,1,21
442,1972,19720819,56,6,1,21
443,1972,19720819,62,6,1,21
444,1972,19720819,55,6,1,21
445,1972,19720819,49,6,1,21
446,1972,19720819,50,6,1,21
447,1972,19720819,51,6,1,21
448,1972,19720819,52,6,1,21
449,1973,19731031,1,7,1,20
450,1973,19731031,2,7,1,20
451,1973,19731031,3,7,1,20
452,1973,19731031,4,7,1,20
453,1973,19731031,5,7,1,20
454,1973,19731031,6,7,1,20
455,1973,19731031,7,7,1,20
456,1973,19731031,8,7,1,20
457,1973,19731031,9,7,1,20
458,1973,19731031,10,7,1,20
459,1973,19731031,11,7,1,20
460,1973,19731031,12,7,1,20
461,1973,19731031,13,7,1,20
462,1973,19731031,14,7,1,20
463,1973,19731031,15,7,1,20
464,1973,19731031,16,7,1,20
465,1973,19731031,22,7,1,20
466,1973,19731031,28,7,1,20
467,1973,19731031,30,7,1,20
468,1973,19731031,26,7,1,20
469,1973,19731031,17,7,1,20
470,1973,19731031,18,7,1,20
471,1973,19731031,19,7,1,20
472,1973,19731031,20,7,1,20
473,1973,19731031,29,7,1,20
474,1973,19731031,31,7,1,20
475,1973,19731031,24,7,1,20
476,1973,19731031,32,7,1,20
477,1973,19731031,25,7,1,20
478,1973,19731031,21,7,1,20
479,1973,19731031,23,7,1,20
480,1973,19731031,27,7,1,20
481,1973,19731031,45,7,1,20
482,1973,19731031,39,7,1,20
483,1973,19731031,37,7,1,20
484,1973,19731031,48,7,1,20
485,1973,19731031,43,7,1,20
486,1973,19731031,41,7,1,20
487,1973,19731031,47,7,1,20
488,1973,19731031,46,7,1,20
489,1973,19731031,33,7,1,20
490,1973,19731031,34,7,1,20
491,1973,19731031,35,7,1,20
492,1973,19731031,36,7,1,20
493,1973,19731031,40,7,1,20
494,1973,19731031,42,7,1,20
495,1973,19731031,44,7,1,20
496,1973,19731031,38,7,1,20
497,1973,19731031,57,7,1,20
498,1973,19731031,63,7,1,20
499,1973,19731031,60,7,1,20
500,1973,19731031,53,7,1,20
501,1973,19731031,61,7,1,20
502,1973,19731031,64,7,1,20
503,1973,19731031,59,7,1,20
504,1973,19731031,58,7,1,20
505,1973,19731031,54,7,1,20
506,1973,19731031,56,7,1,20
507,1973,19731031,62,7,1,20
508,1973,19731031,55,7,1,20
509,1973,19731031,49,7,1,20
510,1973,19731031,50,7,1,20
511,1973,19731031,51,7,1,20
512,1973,19731031,52,7,1,20
513,1973,19731102,1,7,1,18
514,1973,19731102,2,7,1,18
515,1973,19731102,3,7,1,18
516,1973,19731102,4,7,1,18
517,1973,19731102,5,7,1,18
518,1973,19731102,6,7,1,18
519,1973,19731102,7,7,1,18
520,1973,19731102,8,7,1,18
521,1973,19731102,9,7,1,18
522,1973,19731102,10,7,1,18
523,1973,19731102,11,7,1,18
524,1973,19731102,12,7,1,18
525,1973,19731102,13,7,1,18
526,1973,19731102,14,7,1,18
527,1973,19731102,15,7,1,18
528,1973,19731102,16,7,1,18
529,1973,19731102,22,7,1,18
530,1973,19731102,28,7,1,18
531,1973,19731102,30,7,1,18
532,1973,19731102,26,7,1,18
533,1973,19731102,17,7,1,18
534,1973,19731102,18,7,1,18
535,1973,19731102,19,7,1,18
536,1973,19731102,20,7,1,18
537,1973,19731102,29,7,1,18
538,1973,19731102,31,7,1,18
539,1973,19731102,24,7,1,18
540,1973,19731102,32,7,1,18
541,1973,19731102,25,7,1,18
542,1973,19731102,21,7,1,18
543,1973,19731102,23,7,1,18
544,1973,19731102,27,7,1,18
545,1973,19731102,45,7,1,18
546,1973,19731102,39,7,1,18
547,1973,19731102,37,7,1,18
548,1973,19731102,48,7,1,18
549,1973,19731102,43,7,1,18
550,1973,19731102,41,7,1,18
551,1973,19731102,47,7,1,18
552,1973,19731102,46,7,1,18
553,1973,19731102,33,7,1,18
554,1973,19731102,34,7,1,18
555,1973,19731102,35,7,1,18
556,1973,19731102,36,7,1,18
557,1973,19731102,40,7,1,18
558,1973,19731102,42,7,1,18
559,1973,19731102,44,7,1,18
560,1973,19731102,38,7,1,18
561,1973,19731102,57,7,1,18
562,1973,19731102,63,7,1,18
563,1973,19731102,60,7,1,18
564,1973,19731102,53,7,1,18
565,1973,19731102,61,7,1,18
566,1973,19731102,64,7,1,18
567,1973,19731102,59,7,1,18
568,1973,19731102,58,7,1,18
569,1973,19731102,54,7,1,18
570,1973,19731102,56,7,1,18
571,1973,19731102,62,7,1,18
572,1973,19731102,55,7,1,18
