Duengung_ID,Versuchsjahr,Termin,Parzelle_ID,Duengemittel_ID,Mineralisch,Organisch,Stickstoff_org,Stickstoff_min,Gesamt_Stickstoff,Phosphor,Kalium,Kalzium,Technik_ID
1,1967,19670104,5,4,0,1,155,,,,,,15
2,1967,19670104,6,4,0,1,155,,,,,,15
3,1967,19670104,7,4,0,1,155,,,,,,15
4,1967,19670104,8,4,0,1,155,,,,,,15
5,1967,19670104,9,4,0,1,310,,,,,,15
6,1967,19670104,10,4,0,1,310,,,,,,15
7,1967,19670104,11,4,0,1,310,,,,,,15
8,1967,19670104,12,4,0,1,310,,,,,,15
9,1967,19670104,13,4,0,1,465,,,,,,15
10,1967,19670104,14,4,0,1,465,,,,,,15
11,1967,19670104,15,4,0,1,465,,,,,,15
12,1967,19670104,16,4,0,1,465,,,,,,15
13,1967,19670104,17,4,0,1,155,,,,,,15
14,1967,19670104,18,4,0,1,155,,,,,,15
15,1967,19670104,19,4,0,1,155,,,,,,15
16,1967,19670104,20,4,0,1,155,,,,,,15
17,1967,19670104,29,4,0,1,310,,,,,,15
18,1967,19670104,31,4,0,1,310,,,,,,15
19,1967,19670104,24,4,0,1,310,,,,,,15
20,1967,19670104,32,4,0,1,310,,,,,,15
21,1967,19670104,25,4,0,1,465,,,,,,15
22,1967,19670104,21,4,0,1,465,,,,,,15
23,1967,19670104,23,4,0,1,465,,,,,,15
24,1967,19670104,27,4,0,1,465,,,,,,15
25,1967,19670104,43,4,0,1,155,,,,,,15
26,1967,19670104,41,4,0,1,155,,,,,,15
27,1967,19670104,47,4,0,1,155,,,,,,15
28,1967,19670104,46,4,0,1,155,,,,,,15
29,1967,19670104,33,4,0,1,310,,,,,,15
30,1967,19670104,34,4,0,1,310,,,,,,15
31,1967,19670104,35,4,0,1,310,,,,,,15
32,1967,19670104,36,4,0,1,310,,,,,,15
33,1967,19670104,40,4,0,1,465,,,,,,15
34,1967,19670104,42,4,0,1,465,,,,,,15
35,1967,19670104,44,4,0,1,465,,,,,,15
36,1967,19670104,38,4,0,1,465,,,,,,15
37,1967,19670104,61,4,0,1,155,,,,,,15
38,1967,19670104,64,4,0,1,155,,,,,,15
39,1967,19670104,59,4,0,1,155,,,,,,15
40,1967,19670104,58,4,0,1,155,,,,,,15
41,1967,19670104,54,4,0,1,310,,,,,,15
42,1967,19670104,56,4,0,1,310,,,,,,15
43,1967,19670104,62,4,0,1,310,,,,,,15
44,1967,19670104,55,4,0,1,310,,,,,,15
45,1967,19670104,49,4,0,1,465,,,,,,15
46,1967,19670104,50,4,0,1,465,,,,,,15
47,1967,19670104,51,4,0,1,465,,,,,,15
48,1967,19670104,52,4,0,1,465,,,,,,15
49,1967,19670304,1,6,1,0,,,,0,0,1073,16
50,1967,19670304,2,6,1,0,,,,63,181,1073,16
51,1967,19670304,3,6,1,0,,,,126,361,1073,16
52,1967,19670304,4,6,1,0,,,,190,542,1073,16
53,1967,19670304,5,6,1,0,,,,0,0,1073,16
54,1967,19670304,6,6,1,0,,,,63,181,1073,16
55,1967,19670304,7,6,1,0,,,,126,361,1073,16
56,1967,19670304,8,6,1,0,,,,190,542,1073,16
57,1967,19670304,9,6,1,0,,,,0,0,1073,16
58,1967,19670304,10,6,1,0,,,,63,181,1073,16
59,1967,19670304,11,6,1,0,,,,126,361,1073,16
60,1967,19670304,12,6,1,0,,,,190,542,1073,16
61,1967,19670304,13,6,1,0,,,,0,0,1073,16
62,1967,19670304,14,6,1,0,,,,63,181,1073,16
63,1967,19670304,15,6,1,0,,,,126,361,1073,16
64,1967,19670304,16,6,1,0,,,,190,542,1073,16
65,1967,19670304,22,6,1,0,,,,0,0,1073,16
66,1967,19670304,28,6,1,0,,,,63,181,1073,16
67,1967,19670304,30,6,1,0,,,,126,361,1073,16
68,1967,19670304,26,6,1,0,,,,190,542,1073,16
69,1967,19670304,17,6,1,0,,,,0,0,1073,16
70,1967,19670304,18,6,1,0,,,,63,181,1073,16
71,1967,19670304,19,6,1,0,,,,126,361,1073,16
72,1967,19670304,20,6,1,0,,,,190,542,1073,16
73,1967,19670304,29,6,1,0,,,,0,0,1073,16
74,1967,19670304,31,6,1,0,,,,63,181,1073,16
75,1967,19670304,24,6,1,0,,,,126,361,1073,16
76,1967,19670304,32,6,1,0,,,,190,542,1073,16
77,1967,19670304,25,6,1,0,,,,0,0,1073,16
78,1967,19670304,21,6,1,0,,,,63,181,1073,16
79,1967,19670304,23,6,1,0,,,,126,361,1073,16
80,1967,19670304,27,6,1,0,,,,190,542,1073,16
81,1967,19670304,45,6,1,0,,,,0,0,1073,16
82,1967,19670304,39,6,1,0,,,,63,181,1073,16
83,1967,19670304,37,6,1,0,,,,126,361,1073,16
84,1967,19670304,48,6,1,0,,,,190,542,1073,16
85,1967,19670304,43,6,1,0,,,,0,0,1073,16
86,1967,19670304,41,6,1,0,,,,63,181,1073,16
87,1967,19670304,47,6,1,0,,,,126,361,1073,16
88,1967,19670304,46,6,1,0,,,,190,542,1073,16
89,1967,19670304,33,6,1,0,,,,0,0,1073,16
90,1967,19670304,34,6,1,0,,,,63,181,1073,16
91,1967,19670304,35,6,1,0,,,,126,361,1073,16
92,1967,19670304,36,6,1,0,,,,190,542,1073,16
93,1967,19670304,40,6,1,0,,,,0,0,1073,16
94,1967,19670304,42,6,1,0,,,,63,181,1073,16
95,1967,19670304,44,6,1,0,,,,126,361,1073,16
96,1967,19670304,38,6,1,0,,,,190,542,1073,16
97,1967,19670304,57,6,1,0,,,,0,0,1073,16
98,1967,19670304,63,6,1,0,,,,63,181,1073,16
99,1967,19670304,60,6,1,0,,,,126,361,1073,16
100,1967,19670304,53,6,1,0,,,,190,542,1073,16
101,1967,19670304,61,6,1,0,,,,0,0,1073,16
102,1967,19670304,64,6,1,0,,,,63,181,1073,16
103,1967,19670304,59,6,1,0,,,,126,361,1073,16
104,1967,19670304,58,6,1,0,,,,190,542,1073,16
105,1967,19670304,54,6,1,0,,,,0,0,1073,16
