Bodenbearbeitung_ID,Versuchsjahr,Termin,Parzelle_ID,Tiefe,Technik_ID,Bodenbearbeitung_Massnahme_ID,Bemerkungen_ID
1,1987,19860724,1,10,2,9,
2,1987,19860724,2,10,2,9,
3,1987,19860724,3,10,2,9,
4,1987,19860724,4,10,2,9,
5,1987,19860724,5,10,2,9,
6,1987,19860724,6,10,2,9,
7,1987,19860724,7,10,2,9,
8,1987,19860724,8,10,2,9,
9,1987,19860724,9,10,2,9,
10,1987,19860724,10,10,2,9,
11,1987,19860724,11,10,2,9,
12,1987,19860724,12,10,2,9,
13,1987,19860724,13,10,2,9,
14,1987,19860724,14,10,2,9,
15,1987,19860724,15,10,2,9,
16,1987,19860724,16,10,2,9,
17,1987,19860724,17,10,2,9,
18,1987,19860724,18,10,2,9,
19,1987,19860724,19,10,2,9,
20,1987,19860724,20,10,2,9,
21,1987,19860724,21,10,2,9,
22,1987,19860724,22,10,2,9,
23,1987,19860724,23,10,2,9,
24,1987,19860724,24,10,2,9,
25,1987,19860724,25,10,2,9,
26,1987,19860724,26,10,2,9,
27,1987,19860724,27,10,2,9,
28,1987,19860724,28,10,2,9,
29,1987,19860724,29,10,2,9,
30,1987,19860724,30,10,2,9,
31,1987,19860724,31,10,2,9,
32,1987,19860724,32,10,2,9,
33,1987,19860724,33,10,2,9,
34,1987,19860724,34,10,2,9,
35,1987,19860724,35,10,2,9,
36,1987,19860724,36,10,2,9,
37,1987,19860724,37,10,2,9,
38,1987,19860724,38,10,2,9,
39,1987,19860724,39,10,2,9,
40,1987,19860724,40,10,2,9,
41,1987,19860724,41,10,2,9,
42,1987,19860724,42,10,2,9,
43,1987,19860724,43,10,2,9,
44,1987,19860724,44,10,2,9,
45,1987,19860724,45,10,2,9,
46,1987,19860724,46,10,2,9,
47,1987,19860724,47,10,2,9,
48,1987,19860724,48,10,2,9,
49,1987,19860724,49,10,2,9,
50,1987,19860724,50,10,2,9,
51,1987,19860724,51,10,2,9,
52,1987,19860724,52,10,2,9,
53,1987,19860724,53,10,2,9,
54,1987,19860724,54,10,2,9,
55,1987,19860724,55,10,2,9,
56,1987,19860724,56,10,2,9,
57,1987,19860724,57,10,2,9,
58,1987,19860724,58,10,2,9,
59,1987,19860724,59,10,2,9,
60,1987,19860724,60,10,2,9,
61,1987,19860724,61,10,2,9,
62,1987,19860724,62,10,2,9,
63,1987,19860724,63,10,2,9,
64,1987,19860724,64,10,2,9,
65,1987,19860822,1,,4,10,
66,1987,19860822,2,,4,10,
67,1987,19860822,3,,4,10,
68,1987,19860822,4,,4,10,
69,1987,19860822,5,,4,10,
70,1987,19860822,6,,4,10,
71,1987,19860822,7,,4,10,
72,1987,19860822,8,,4,10,
73,1987,19860822,9,,4,10,
74,1987,19860822,10,,4,10,
75,1987,19860822,11,,4,10,
76,1987,19860822,12,,4,10,
77,1987,19860822,13,,4,10,
78,1987,19860822,14,,4,10,
79,1987,19860822,15,,4,10,
80,1987,19860822,16,,4,10,
81,1987,19860822,17,,4,10,
82,1987,19860822,18,,4,10,
83,1987,19860822,19,,4,10,
84,1987,19860822,20,,4,10,
85,1987,19860822,21,,4,10,
86,1987,19860822,22,,4,10,
87,1987,19860822,23,,4,10,
88,1987,19860822,24,,4,10,
89,1987,19860822,25,,4,10,
90,1987,19860822,26,,4,10,
91,1987,19860822,27,,4,10,
92,1987,19860822,28,,4,10,
93,1987,19860822,29,,4,10,
94,1987,19860822,30,,4,10,
95,1987,19860822,31,,4,10,
96,1987,19860822,32,,4,10,
97,1987,19860822,33,,4,10,
98,1987,19860822,34,,4,10,
99,1987,19860822,35,,4,10,
100,1987,19860822,36,,4,10,
101,1987,19860822,37,,4,10,
102,1987,19860822,38,,4,10,
103,1987,19860822,39,,4,10,
104,1987,19860822,40,,4,10,
105,1987,19860822,41,,4,10,
106,1987,19860822,42,,4,10,
107,1987,19860822,43,,4,10,
108,1987,19860822,44,,4,10,
109,1987,19860822,45,,4,10,
110,1987,19860822,46,,4,10,
111,1987,19860822,47,,4,10,
112,1987,19860822,48,,4,10,
113,1987,19860822,49,,4,10,
114,1987,19860822,50,,4,10,
115,1987,19860822,51,,4,10,
116,1987,19860822,52,,4,10,
117,1987,19860822,53,,4,10,
118,1987,19860822,54,,4,10,
119,1987,19860822,55,,4,10,
120,1987,19860822,56,,4,10,
121,1987,19860822,57,,4,10,
122,1987,19860822,58,,4,10,
123,1987,19860822,59,,4,10,
124,1987,19860822,60,,4,10,
125,1987,19860822,61,,4,10,
126,1987,19860822,62,,4,10,
127,1987,19860822,63,,4,10,
128,1987,19860822,64,,4,10,
129,1987,19860916,1,28,2,1,
130,1987,19860916,2,28,2,1,
131,1987,19860916,3,28,2,1,
132,1987,19860916,4,28,2,1,
133,1987,19860916,5,28,2,1,
134,1987,19860916,6,28,2,1,
135,1987,19860916,7,28,2,1,
136,1987,19860916,8,28,2,1,
137,1987,19860916,9,28,2,1,
138,1987,19860916,10,28,2,1,
139,1987,19860916,11,28,2,1,
140,1987,19860916,12,28,2,1,
141,1987,19860916,13,28,2,1,
142,1987,19860916,14,28,2,1,
143,1987,19860916,15,28,2,1,
144,1987,19860916,16,28,2,1,
145,1987,19860916,17,28,2,1,
146,1987,19860916,18,28,2,1,
147,1987,19860916,19,28,2,1,
148,1987,19860916,20,28,2,1,
149,1987,19860916,21,28,2,1,
150,1987,19860916,22,28,2,1,
151,1987,19860916,23,28,2,1,
152,1987,19860916,24,28,2,1,
153,1987,19860916,25,28,2,1,
154,1987,19860916,26,28,2,1,
155,1987,19860916,27,28,2,1,
156,1987,19860916,28,28,2,1,
157,1987,19860916,29,28,2,1,
158,1987,19860916,30,28,2,1,
159,1987,19860916,31,28,2,1,
160,1987,19860916,32,28,2,1,
161,1987,19860916,33,28,2,1,
162,1987,19860916,34,28,2,1,
163,1987,19860916,35,28,2,1,
164,1987,19860916,36,28,2,1,
165,1987,19860916,37,28,2,1,
166,1987,19860916,38,28,2,1,
167,1987,19860916,39,28,2,1,
168,1987,19860916,40,28,2,1,
169,1987,19860916,41,28,2,1,
170,1987,19860916,42,28,2,1,
171,1987,19860916,43,28,2,1,
172,1987,19860916,44,28,2,1,
173,1987,19860916,45,28,2,1,
174,1987,19860916,46,28,2,1,
175,1987,19860916,47,28,2,1,
176,1987,19860916,48,28,2,1,
177,1987,19860916,49,28,2,1,
178,1987,19860916,50,28,2,1,
179,1987,19860916,51,28,2,1,
180,1987,19860916,52,28,2,1,
181,1987,19860916,53,28,2,1,
182,1987,19860916,54,28,2,1,
183,1987,19860916,55,28,2,1,
184,1987,19860916,56,28,2,1,
185,1987,19860916,57,28,2,1,
186,1987,19860916,58,28,2,1,
187,1987,19860916,59,28,2,1,
188,1987,19860916,60,28,2,1,
189,1987,19860916,61,28,2,1,
190,1987,19860916,62,28,2,1,
191,1987,19860916,63,28,2,1,
192,1987,19860916,64,28,2,1,
193,1987,19870424,1,,4,13,
194,1987,19870424,2,,4,13,
195,1987,19870424,3,,4,13,
196,1987,19870424,4,,4,13,
197,1987,19870424,5,,4,13,
198,1987,19870424,6,,4,13,
199,1987,19870424,7,,4,13,
200,1987,19870424,8,,4,13,
201,1987,19870424,9,,4,13,
202,1987,19870424,10,,4,13,
203,1987,19870424,11,,4,13,
204,1987,19870424,12,,4,13,
205,1987,19870424,13,,4,13,
206,1987,19870424,14,,4,13,
207,1987,19870424,15,,4,13,
208,1987,19870424,16,,4,13,
209,1987,19870424,17,,4,13,
210,1987,19870424,18,,4,13,
211,1987,19870424,19,,4,13,
212,1987,19870424,20,,4,13,
213,1987,19870424,21,,4,13,
214,1987,19870424,22,,4,13,
215,1987,19870424,23,,4,13,
216,1987,19870424,24,,4,13,
217,1987,19870424,25,,4,13,
218,1987,19870424,26,,4,13,
219,1987,19870424,27,,4,13,
220,1987,19870424,28,,4,13,
221,1987,19870424,29,,4,13,
222,1987,19870424,30,,4,13,
223,1987,19870424,31,,4,13,
224,1987,19870424,32,,4,13,
225,1987,19870424,33,,4,13,
226,1987,19870424,34,,4,13,
227,1987,19870424,35,,4,13,
228,1987,19870424,36,,4,13,
229,1987,19870424,37,,4,13,
230,1987,19870424,38,,4,13,
231,1987,19870424,39,,4,13,
232,1987,19870424,40,,4,13,
233,1987,19870424,41,,4,13,
234,1987,19870424,42,,4,13,
235,1987,19870424,43,,4,13,
236,1987,19870424,44,,4,13,
237,1987,19870424,45,,4,13,
238,1987,19870424,46,,4,13,
239,1987,19870424,47,,4,13,
240,1987,19870424,48,,4,13,
241,1987,19870424,49,,4,13,
242,1987,19870424,50,,4,13,
243,1987,19870424,51,,4,13,
244,1987,19870424,52,,4,13,
245,1987,19870424,53,,4,13,
246,1987,19870424,54,,4,13,
247,1987,19870424,55,,4,13,
248,1987,19870424,56,,4,13,
249,1987,19870424,57,,4,13,
250,1987,19870424,58,,4,13,
251,1987,19870424,59,,4,13,
252,1987,19870424,60,,4,13,
253,1987,19870424,61,,4,13,
254,1987,19870424,62,,4,13,
255,1987,19870424,63,,4,13,
256,1987,19870424,64,,4,13,
257,1988,19871116,1,25,2,1,
258,1988,19871116,2,25,2,1,
259,1988,19871116,3,25,2,1,
260,1988,19871116,4,25,2,1,
261,1988,19871116,5,25,2,1,
262,1988,19871116,6,25,2,1,
263,1988,19871116,7,25,2,1,
264,1988,19871116,8,25,2,1,
265,1988,19871116,9,25,2,1,
266,1988,19871116,10,25,2,1,
267,1988,19871116,11,25,2,1,
268,1988,19871116,12,25,2,1,
