Aussaat_ID,Versuchsjahr,Termin,Termin_Aufgang,Parzelle_ID,Saatstaerke_kg_ha,Reihenabstand,Pflanzenabstand,Saat_Pflanzgut_ID,Keimfaehige_Koerner,Technik_ID
1,1967,19670421,19670519,1,,62.5,40,1,,10
2,1967,19670421,19670519,2,,62.5,40,1,,10
3,1967,19670421,19670519,3,,62.5,40,1,,10
4,1967,19670421,19670519,4,,62.5,40,1,,10
5,1967,19670421,19670519,5,,62.5,40,1,,10
6,1967,19670421,19670519,6,,62.5,40,1,,10
7,1967,19670421,19670519,7,,62.5,40,1,,10
8,1967,19670421,19670519,8,,62.5,40,1,,10
9,1967,19670421,19670519,9,,62.5,40,1,,10
10,1967,19670421,19670519,10,,62.5,40,1,,10
11,1967,19670421,19670519,11,,62.5,40,1,,10
12,1967,19670421,19670519,12,,62.5,40,1,,10
13,1967,19670421,19670519,13,,62.5,40,1,,10
14,1967,19670421,19670519,14,,62.5,40,1,,10
15,1967,19670421,19670519,15,,62.5,40,1,,10
16,1967,19670421,19670519,16,,62.5,40,1,,10
17,1967,19670421,19670519,17,,62.5,40,1,,10
18,1967,19670421,19670519,18,,62.5,40,1,,10
19,1967,19670421,19670519,19,,62.5,40,1,,10
20,1967,19670421,19670519,20,,62.5,40,1,,10
21,1967,19670421,19670519,21,,62.5,40,1,,10
22,1967,19670421,19670519,22,,62.5,40,1,,10
23,1967,19670421,19670519,23,,62.5,40,1,,10
24,1967,19670421,19670519,24,,62.5,40,1,,10
25,1967,19670421,19670519,25,,62.5,40,1,,10
26,1967,19670421,19670519,26,,62.5,40,1,,10
27,1967,19670421,19670519,27,,62.5,40,1,,10
28,1967,19670421,19670519,28,,62.5,40,1,,10
29,1967,19670421,19670519,29,,62.5,40,1,,10
30,1967,19670421,19670519,30,,62.5,40,1,,10
31,1967,19670421,19670519,31,,62.5,40,1,,10
32,1967,19670421,19670519,32,,62.5,40,1,,10
33,1967,19670421,19670519,33,,62.5,40,1,,10
34,1967,19670421,19670519,34,,62.5,40,1,,10
35,1967,19670421,19670519,35,,62.5,40,1,,10
36,1967,19670421,19670519,36,,62.5,40,1,,10
37,1967,19670421,19670519,37,,62.5,40,1,,10
38,1967,19670421,19670519,38,,62.5,40,1,,10
39,1967,19670421,19670519,39,,62.5,40,1,,10
40,1967,19670421,19670519,40,,62.5,40,1,,10
41,1967,19670421,19670519,41,,62.5,40,1,,10
42,1967,19670421,19670519,42,,62.5,40,1,,10
43,1967,19670421,19670519,43,,62.5,40,1,,10
44,1967,19670421,19670519,44,,62.5,40,1,,10
45,1967,19670421,19670519,45,,62.5,40,1,,10
46,1967,19670421,19670519,46,,62.5,40,1,,10
47,1967,19670421,19670519,47,,62.5,40,1,,10
48,1967,19670421,19670519,48,,62.5,40,1,,10
49,1967,19670421,19670519,49,,62.5,40,1,,10
50,1967,19670421,19670519,50,,62.5,40,1,,10
51,1967,19670421,19670519,51,,62.5,40,1,,10
52,1967,19670421,19670519,52,,62.5,40,1,,10
53,1967,19670421,19670519,53,,62.5,40,1,,10
54,1967,19670421,19670519,54,,62.5,40,1,,10
55,1967,19670421,19670519,55,,62.5,40,1,,10
56,1967,19670421,19670519,56,,62.5,40,1,,10
57,1967,19670421,19670519,57,,62.5,40,1,,10
58,1967,19670421,19670519,58,,62.5,40,1,,10
59,1967,19670421,19670519,59,,62.5,40,1,,10
60,1967,19670421,19670519,60,,62.5,40,1,,10
61,1967,19670421,19670519,61,,62.5,40,1,,10
62,1967,19670421,19670519,62,,62.5,40,1,,10
63,1967,19670421,19670519,63,,62.5,40,1,,10
64,1967,19670421,19670519,64,,62.5,40,1,,10
65,1968,19671020,19671106,1,192,20,,2,,9
66,1968,19671020,19671106,2,192,20,,2,,9
67,1968,19671020,19671106,3,192,20,,2,,9
68,1968,19671020,19671106,4,192,20,,2,,9
69,1968,19671020,19671106,5,192,20,,2,,9
70,1968,19671020,19671106,6,192,20,,2,,9
71,1968,19671020,19671106,7,192,20,,2,,9
72,1968,19671020,19671106,8,192,20,,2,,9
73,1968,19671020,19671106,9,192,20,,2,,9
74,1968,19671020,19671106,10,192,20,,2,,9
75,1968,19671020,19671106,11,192,20,,2,,9
76,1968,19671020,19671106,12,192,20,,2,,9
77,1968,19671020,19671106,13,192,20,,2,,9
78,1968,19671020,19671106,14,192,20,,2,,9
79,1968,19671020,19671106,15,192,20,,2,,9
80,1968,19671020,19671106,16,192,20,,2,,9
81,1968,19671020,19671106,17,192,20,,2,,9
82,1968,19671020,19671106,18,192,20,,2,,9
