Versuchsaufbau_ID,Versuchsjahr,Parzelle_ID,Kultur_ID,Pruefglied_ID,Bewaesserung
1,1967,1,1,11,0
2,1967,2,1,12,0
3,1967,3,1,13,0
4,1967,4,1,14,0
5,1967,5,1,21,0
6,1967,6,1,22,0
7,1967,7,1,23,0
8,1967,8,1,24,0
9,1967,9,1,31,0
10,1967,10,1,32,0
11,1967,11,1,33,0
12,1967,12,1,34,0
13,1967,13,1,41,0
14,1967,14,1,42,0
15,1967,15,1,43,0
16,1967,16,1,44,0
17,1967,17,1,21,0
18,1967,18,1,22,0
19,1967,19,1,23,0
20,1967,20,1,24,0
21,1967,21,1,42,0
22,1967,22,1,11,0
23,1967,23,1,43,0
24,1967,24,1,33,0
25,1967,25,1,41,0
26,1967,26,1,14,0
27,1967,27,1,44,0
28,1967,28,1,12,0
29,1967,29,1,31,0
30,1967,30,1,13,0
31,1967,31,1,32,0
32,1967,32,1,34,0
33,1967,33,1,31,0
34,1967,34,1,32,0
35,1967,35,1,33,0
36,1967,36,1,34,0
37,1967,37,1,13,0
38,1967,38,1,44,0
39,1967,39,1,12,0
40,1967,40,1,41,0
41,1967,41,1,22,0
42,1967,42,1,42,0
43,1967,43,1,21,0
44,1967,44,1,43,0
45,1967,45,1,11,0
46,1967,46,1,24,0
47,1967,47,1,23,0
48,1967,48,1,14,0
49,1967,49,1,41,0
50,1967,50,1,42,0
51,1967,51,1,43,0
52,1967,52,1,44,0
53,1967,53,1,14,0
54,1967,54,1,31,0
55,1967,55,1,34,0
56,1967,56,1,32,0
57,1967,57,1,11,0
58,1967,58,1,24,0
59,1967,59,1,23,0
60,1967,60,1,13,0
61,1967,61,1,21,0
62,1967,62,1,33,0
63,1967,63,1,12,0
64,1967,64,1,22,0
65,1968,1,2,11,0
66,1968,2,2,12,0
67,1968,3,2,13,0
68,1968,4,2,14,0
69,1968,5,2,21,0
70,1968,6,2,22,0
71,1968,7,2,23,0
72,1968,8,2,24,0
73,1968,9,2,31,0
74,1968,10,2,32,0
75,1968,11,2,33,0
76,1968,12,2,34,0
77,1968,13,2,41,0
78,1968,14,2,42,0
79,1968,15,2,43,0
80,1968,16,2,44,0
81,1968,17,2,21,0
82,1968,18,2,22,0
83,1968,19,2,23,0
84,1968,20,2,24,0
85,1968,21,2,42,0
86,1968,22,2,11,0
87,1968,23,2,43,0
88,1968,24,2,33,0
89,1968,25,2,41,0
90,1968,26,2,14,0
91,1968,27,2,44,0
92,1968,28,2,12,0
93,1968,29,2,31,0
94,1968,30,2,13,0
95,1968,31,2,32,0
96,1968,32,2,34,0
97,1968,33,2,31,0
98,1968,34,2,32,0
99,1968,35,2,33,0
100,1968,36,2,34,0
101,1968,37,2,13,0
102,1968,38,2,44,0
103,1968,39,2,12,0
104,1968,40,2,41,0
105,1968,41,2,22,0
106,1968,42,2,42,0
107,1968,43,2,21,0
108,1968,44,2,43,0
109,1968,45,2,11,0
110,1968,46,2,24,0
111,1968,47,2,23,0
112,1968,48,2,14,0
113,1968,49,2,41,0
114,1968,50,2,42,0
115,1968,51,2,43,0
116,1968,52,2,44,0
117,1968,53,2,14,0
118,1968,54,2,31,0
119,1968,55,2,34,0
120,1968,56,2,32,0
121,1968,57,2,11,0
122,1968,58,2,24,0
123,1968,59,2,23,0
124,1968,60,2,13,0
125,1968,61,2,21,0
126,1968,62,2,33,0
127,1968,63,2,12,0
128,1968,64,2,22,0
129,1969,1,3,11,0
130,1969,2,3,12,0
131,1969,3,3,13,0
132,1969,4,3,14,0
133,1969,5,3,21,0
134,1969,6,3,22,0
135,1969,7,3,23,0
136,1969,8,3,24,0
137,1969,9,3,31,0
138,1969,10,3,32,0
139,1969,11,3,33,0
140,1969,12,3,34,0
141,1969,13,3,41,0
142,1969,14,3,42,0
143,1969,15,3,43,0
144,1969,16,3,44,0
145,1969,17,3,21,0
146,1969,18,3,22,0
147,1969,19,3,23,0
148,1969,20,3,24,0
149,1969,21,3,42,0
150,1969,22,3,11,0
151,1969,23,3,43,0
