Technik_ID,Technik,Beschreibung,Arbeitsbreite,Reihenabstand,Reihenanzahl
1,Scheibenegge,,6,,
2,Aufsattelbeetpflug,,2.8,,
3,Pflug/Packer,,2.8,,
4,Grubber,,6,,
5,Walze,,8,,
6,Gerätekombination,,6,,
7,Kreiselegge,,5,,
8,EKS Rüben,,8.1,,
9,Drillmaschine,,6,,
10,Kartoffellegemaschine,,,,6
11,Rübenhacke,,8.1,,
12,Kartoffelstriegel,,,,6
13,Krautschlagen,,,,6
14,Maishacke,,,41.7,6
15,Stalldungstreuer,8t-Volumen,,,
16,Düngerstreuer,6t-Volumen,,,
17,Pflanzenschutzspritze,,24,,
18,Zuckerrüben Rodelader Selbstfahrer,,,,6
19,Köpfrodebunker,,,,3
20,Blatternte,,,,6
21,Getreide-Mähdrescher,,6,,
22,Stroh Rundballenpresse,"1,8 m DM",,,
23,Stroh Großpackenpresse,">2,1 m³",,,
24,Kartoffeln Sammelroder,,,,3
25,Feldhäcksler,,6,,
26,Hänger HW80,,7,,
27,2 Hänger HW80,,8,,
28,2 Hänger HW80,,14.4,,
29,2 Hänger HW80,,16,,
30,Hänger HW60,,2.2,,
