Termin,T_Mit_2m,Niederschlag_Summe,Bemerkungen_ID
19670101,1.2,40,2
19670201,3.4,31,2
19670301,6.5,40,2
19670401,7.3,20,2
19670501,14.3,79,2
19670601,15.9,115,2
19670701,19.8,106,2
19670801,17.3,50,2
19670901,15.3,68,2
19671001,12.9,41,2
19671101,4.7,40,2
19671201,1.1,76,2
19680101,-0.6,64,2
19680201,1,36,2
19680301,5.3,39,2
19680401,10.1,23,2
19680501,12.2,38,2
19680601,17.8,55,2
19680701,17.7,38,2
19680801,18.3,56,2
19680901,14.3,88,2
19681001,11.3,55,2
19681101,3.9,54,2
19681201,-2.1,23,2
19690101,0.5,54,2
19690201,-2.4,45,2
19690301,-0.1,36,2
19690401,7.6,65,2
19690501,14.4,68,2
19690601,16.6,79,2
19690701,19.9,22,2
19690801,17.7,87,2
19690901,14.4,15,2
19691001,10.9,23,2
19691101,3.6,33,2
19691201,-5.6,35,2
19700101,-3.4,39,2
19700201,-0.9,84,2
19700301,1.6,73,2
19700401,6.5,52,2
19700501,12.5,70,2
19700601,18.3,41,2
19700701,17.7,55,2
19700801,17.6,106,2
19700901,13.6,23,2
19701001,9.4,72,2
19701101,4.6,68,2
19701201,1.1,36,2
19710101,-0.8,21,2
19710201,1.9,30,2
19710301,1.9,14,2
19710401,8.8,44,2
19710501,15.1,33,2
19710601,15.1,94,2
19710701,19.6,8,2
19710801,19.8,50,2
19710901,13.2,33,2
19711001,9.6,23,2
19711101,4.5,41,2
19711201,4.3,20,2
19720101,-2.7,3,2
19720201,2.1,5,2
19720301,5.8,34,2
19720401,8.3,45,2
19720501,12.6,79,2
19720601,16.2,60,2
19720701,19.4,61,2
19720801,16.7,50,2
19720901,11.8,47,2
19721001,7.1,44,2
19721101,5.2,24,2
19721201,1.5,2,2
19730101,0.6,22,2
19730201,2.1,33,2
19730301,5.2,21,2
19730401,6.1,35,2
19730501,13.5,44,2
19730601,17,99,2
19730701,18.3,83,2
19730801,18.6,57,2
19730901,15,39,2
19731001,7.8,63,2
19731101,3.9,41,2
19731201,0.8,27,2
19740101,4,41,2
19740201,3.8,48,2
19740301,6.3,13,2
19740401,8.5,12,2
19740501,11.9,86,2
19740601,15,62,2
19740701,16.5,75,2
19740801,18.3,52,2
19740901,14.6,42,2
19741001,6.5,144,2
19741101,5.8,43,2
19741201,5.7,85,2
19750101,5.5,26,2
19750201,1.3,12,2
19750301,4.2,26,2
19750401,7.4,54,2
19750501,13.2,38,2
19750601,16,45,2
19750701,20,56,2
19750801,20.5,75,2
19750901,17.3,18,2
19751001,8.1,39,2
19751101,3.4,16,2
19751201,2.1,12,2
19760101,1.4,87,2
19760201,0.7,9,2
19760301,1.4,17,2
19760401,7.8,7,2
19760501,14.1,36,2
19760601,18.5,11,2
19760701,21.1,24,2
19760801,17.8,20,2
19760901,14,33,2
19761001,9.6,25,2
19761101,5.1,54,2
19761201,0,14,2
19770101,1.2,24,2
19770201,3.7,37,2
19770301,6.8,62,2
19770401,6.5,73,2
19770501,12.6,24,2
19770601,16.7,93,2
19770701,17.3,49,2
19770801,17.1,72,2
19770901,12.7,65,2
19771001,11.3,35,2
19771101,6.8,74,2
19771201,2.4,24,2
19780101,1.6,12,2
