Bemerkungen_ID,Bemerkungen
1,"Andere Wetterstation ab Juni 1998: Seehausen (DWD-ID: 4642), überschneidende Daten weichen leicht voneinander ab"
2,Eigene Wetterstation des Versuchsguts
3,Kartoffel-Sorte nicht mehr rekonstruierbar
4,Wintergerste-Sorte nicht mehr rekonstruierbar
5,Winterweizen-Sorte nicht mehr rekonstruierbar
6,nicht gefunden
7,nicht gefunden (nur Gurke)
8,nicht gefunden (nur Kartoffel)
9,nicht gefunden (nur Kopfsalat)
10,nicht gefunden (nur Sojabohne)
11,nur Mais
12,nur Wintergerste
13,nur Winterweizen
14,nur Zuckerrübe
15,Meta-Prüfglied für zusammengefasste Daten (z. B. Bodenuntersuchungen über alle Varianten)
16,"Organische Düngung immer zu Hackfrüchten, von 1967-1981 alle zwei Jahre, von 1982 bis Versuchsende abwechselnd alle zwei oder drei Jahre. Im Jahr 1981 wurde wegen Fruchtfolgewechsels nicht organisch gedüngt (siehe Tabellenblatt Fruchtfolge). Tatsächlich org. gedüngter N weicht wegen abweichender N-Gehalte im Stallmist vom Versuchsplan ab (siehe Tabellenblatt Düngung). Die zwei- bzw. dreijährige Summe des Mineral-N wurde daher im Jahr vor der neuen organischen Düngung an die organische Gesamt-N-Düngung angepasst."
17,Faktorielle Anlage im lateinischen Rechteck (siehe Versuchsplan)
18,2x durchgeführt
19,Verhackt und vereinzelt
20,"Beregnet, Wiederholungen 3 und 4"
21,"Unberegnet, Wiederholungen 1 und 2"
22,Untersuchung Kartoffel (Knolle)
23,Untersuchung Zuckerrübenkörper
24,kg/ha
25,"kg/ha, Blattläuse als Virusvektoren"
26,"kg/ha, Halmbruch"
27,"kg/ha, Kartoffelkäfer"
28,"kg/ha, Kraut- und Knollenfäule"
29,"kg/ha, Phytophthora"
30,"kg/ha, Unkräuter"
31,"kg/ha, einjährige Rispe, zweikeimblättrige"
32,"kg/ha, einjährige Ungräser"
33,"kg/ha, einjährige Unkräuter"
34,"kg/ha, n.a."
35,"kg/ha, zweikeimblättrige Unkräuter"
36,l/ha
37,"l/ha, Blattläuse"
38,"l/ha, Halmbruch, Mehltau"
39,"l/ha, Halmstabilisator"
40,"l/ha, Kamille, Ackerkratzdistel"
41,"l/ha, Kartoffelkäfer"
42,"l/ha, Krautabtötung"
43,"l/ha, Mehltau"
44,"l/ha, Mehltau, Braunrost, u.a."
45,"l/ha, Mehltau, Halmbruch"
46,"l/ha, Mehltau, Zwergrost"
47,"l/ha, Phytophthora"
48,"l/ha, Rübenfliege"
49,"l/ha, Unkräuter"
50,"l/ha, Vogelmiere, Kamille"
51,"l/ha, einjährige Ungräser"
52,"l/ha, einjährige Unkräuter"
53,"l/ha, einjährige zweikeimblättrige Unkräuter"
54,"l/ha, einkeimblättrige Unkräuter"
55,"l/ha, virusübertragende Blattläuse"
56,"l/ha, zweikeimblättrige Unkräuter"
57,"ml/ha, Blattläuse"
58,"Bonitur Aufgang: 01.06.71, Bonitur Jugendentwicklung: 10.06.71, Bonitur Allgemeineindruck: 30.07.71"
59,"Bonitur Aufgang: 05.05.70, Bonitur Jugendentwicklung: 23.05.70, Bonitur Allgemeineindruck: 17.07.70, Bonitur Standfestigkeit: 05.08.70"
60,"Bonitur Aufgang: 07.06.69, Bonitur Jugendentwicklung: 16.07.69, Bonitur Allgemeineindruck: 01.09.69"
61,"Bonitur Aufgang: 15.04.74, Bonitur Jugendentwicklung: 16.05.74, Bonitur Allgemeineindruck: 02.07.74, Bonitur Standfestigkeit: 30.07.74"
62,"Bonitur Aufgang: 15.12.71, Bonitur Überwinterung: 10.03.72, Bonitur Jugendentwicklung: 09.05.72, Bonitur Allgemeineindruck: 21.07.72, Bonitur Standfestigkeit: 21.07.72"
63,"Bonitur Aufgang: 20.11.67, Bonitur Überwinterung: 28.3.68, Bonitur Jugendentwicklung: 13.05.68, Bonitur Allgemeineindruck: 28.06.68, Bonitur Standfestigkeit: 01.08.68"
64,"Bonitur Aufgang: 24.05.73, Bonitur Jugendentwicklung: 26.06.73, Bonitur Allgemeineindruck: 30.07.73"
65,"Bonitur Aufgang: 29.05.67, Bonitur Jugendentwicklung: 22.06.67, Bonitur Allgemeineindruck: 24.08.67"
