$TIME_COURSE(MEASURED)
  
*DATA(T):KSAS8101WH 1 C1 DRYLAND  - 0 KG RESPONSE,KANSAS                        
  
@TRNO   DATE  LAID  SWAD  GWAD  LWAD  CWAD  T#AD   DAP   DAS                                                                                                                        
     1 81344  0.00     0     0    60    59   227    55    65                                                                                                                        
     1 82061  0.06     0     0    99    99   275   137   147                                                                                                                        
     1 82071  0.06     0     0   125   124   292   147   157                                                                                                                        
     1 82081  0.13     0     0   170   170   454   157   167                                                                                                                        
     1 82092  0.20     0     0   225   225   454   168   178                                                                                                                        
     1 82103  0.31     0     0   339   338   616   179   189                                                                                                                        
     1 82115  0.68   225     0   765   987   632   191   201                                                                                                                        
     1 82125  0.96   433     0  1220  1670   664   201   211                                                                                                                        
     1 82138  1.02  1657     0  2268  4696   551   214   224                                                                                                                        
     1 82152  0.33  2236     0  1220  5127   437   228   238                                                                                                                        
     1 82162  0.00  1662  1550  1128  5082   340   238   248                                                                                                                        
     1 82168  0.00  1609  2147  1102  5848   373   244   254                                                                                                                        
     1 82175  0.00  1609  2323  1171  5994   421   251   261                                                                                                                        
  
*DATA(T):KSAS8101WH 2 C1 DRYLAND  - 60 K RESPONSE,KANSAS                        
  
@TRNO   DATE  LAID  SWAD  GWAD  LWAD  CWAD  T#AD   DAP   DAS                                                                                                                        
     2 81344  0.00     0     0   105   105   437    55    65                                                                                                                        
     2 82061  0.08     0     0   139   140   389   137   147                                                                                                                        
     2 82071  0.08     0     0   149   149   583   147   157                                                                                                                        
     2 82081  0.17     0     0   214   214   599   157   167                                                                                                                        
     2 82092  0.29     0     0   269   268   599   168   178                                                                                                                        
     2 82103  0.53     0     0   522   520   842   179   189                                                                                                                        
     2 82115  1.14   374     0  1239  1609   907   191   201                                                                                                                        
     2 82125  1.84   692     0  1891  2600   972   201   211                                                                                                                        
     2 82138  1.78  2629     0  3196  7254   826   214   224                                                                                                                        
     2 82152  0.69  3872     0  2430  8918   713   228   238                                                                                                                        
     2 82162  0.00  2650  2330  1733  7938   535   238   248                                                                                                                        
     2 82168  0.00  2872  3284  1858  9639   599   244   254                                                                                                                        
     2 82175  0.00  3029  3340  1976 10178   616   251   261                                                                                                                        
  
*DATA(T):KSAS8101WH 3 C1 DRYLAND  - 180  RESPONSE,KANSAS                        
  
@TRNO   DATE  LAID  SWAD  GWAD  LWAD  CWAD  T#AD   DAP   DAS                                                                                                                        
     3 81344  0.00     0     0   102   101   405    55    65                                                                                                                        
     3 82061  0.08     0     0   139   139   389   137   147                                                                                                                        
     3 82071  0.16     0     0   238   238   632   147   157                                                                                                                        
     3 82081  0.21     0     0   269   268   745   157   167                                                                                                                        
     3 82092  0.46     0     0   395   395   794   168   178                                                                                                                        
     3 82103  0.82     0     0   719   717  1102   179   189                                                                                                                        
     3 82115  1.73   397     0  1487  1879  1069   191   201                                                                                                                        
     3 82125  3.60   988     0  2689  3696  1118   201   211                                                                                                                        
     3 82138  2.99  2888     0  4612  9203  1021   214   224                                                                                                                        
     3 82152  1.24  4795     0  4909 11723   842   228   238                                                                                                                        
     3 82162  0.00  3765  2866  2508 11184   680   238   248                                                                                                                        
     3 82168  0.00  3402  3731  2419 11438   713   244   254                                                                                                                        
     3 82175  0.00  3559  4534  2338 12649   697   251   261                                                                                                                        
  
*DATA(T):KSAS8101WH 4 C1 IRRIGATED - 0 K RESPONSE,KANSAS                        
  
@TRNO   DATE  LAID  SWAD  GWAD  LWAD  CWAD  T#AD   DAP   DAS                                                                                                                        
     4 81344  0.00     0     0    53    53   211    55    65                                                                                                                        
     4 82061  0.05     0     0    96    95   259   137   147                                                                                                                        
     4 82071  0.04     0     0   120   119   275   147   157                                                                                                                        
     4 82081  0.09     0     0   130   130   373   157   167                                                                                                                        
     4 82092  0.19     0     0   209   209   421   168   178                                                                                                                        
     4 82103  0.28     0     0   311   311   535   179   189                                                                                                                        
     4 82115  0.58   227     0   648   872   470   191   201                                                                                                                        
     4 82125  0.83   400     0   988  1411   502   201   211                                                                                                                        
     4 82138  0.81  1453     0  2257  4572   486   214   224                                                                                                                        
     4 82152  0.31  2046     0  1139  4453   405   228   238                                                                                                                        
     4 82162  0.00  1283  1210   891  4004   275   238   248                                                                                                                        
     4 82168  0.00  1155  1333   821  4222   275   244   254                                                                                                                        
     4 82175  0.00  1004  1442   778  3926   259   251   261                                                                                                                        
